covariate,treated_mean,control_mean,unweighted_smd,weighted_treated_mean,weighted_control_mean,weighted_smd,abs_unweighted_smd,abs_weighted_smd
calendar_day_index,22.991219512195123,38.604537692120026,-0.9605622785198557,27.46928614538849,30.188485495364603,-0.1569613556212529,0.9605622785198557,0.1569613556212529
lag_1_discovery_candidate_share,0.4288429320872256,0.2884084003097893,0.8709329038664954,0.38865466951929123,0.3676444453709126,0.12630459106775668,0.8709329038664954,0.12630459106775668
prior_3day_discovery_candidate_share,1.2456975422949907,0.8954749405126785,0.8697174369078754,1.1513299688264789,1.0962246392287058,0.13536494012354958,0.8697174369078754,0.13536494012354958
prior_3day_interactions,177.0870731707317,128.07074896316175,0.652020440221993,162.68569185341156,155.80369446484295,0.08743777861847164,0.652020440221993,0.08743777861847164
lag_1_interactions,60.189268292682925,41.87167601854111,0.5952407569852965,54.82127616740954,52.57950972976842,0.06886523243599646,0.5952407569852965,0.06886523243599646
prior_3day_total_play_duration_sec,1524.3921280487805,1118.6594420590388,0.5652274162129262,1403.931553715529,1342.661642970421,0.08277016567020717,0.5652274162129262,0.08277016567020717
lag_1_total_play_duration_sec,518.4572219512195,365.8509126616248,0.5229049014567672,472.1446531484926,452.37349018752235,0.06534112370924096,0.5229049014567672,0.06534112370924096
recent_activity_score,0.7936724982280776,0.7543795945707932,0.27596814259524716,0.7857049199540878,0.7836985356928253,0.0150464797603314,0.27596814259524716,0.0150464797603314
prior_3day_active_day,2.810487804878049,2.9233959502317637,-0.22419260622060322,2.8586300056196516,2.89465765619374,-0.07618321269482625,0.22419260622060322,0.07618321269482625
prior_3day_valid_play_share,2.6390128924515337,2.744584699106364,-0.199220922791437,2.67736892873108,2.715539001340747,-0.07550881081739148,0.199220922791437,0.07550881081739148
lag_1_active_day,0.9617073170731707,0.9819468162966577,-0.1225470820995666,0.9727700868000915,0.9839427690221492,-0.0768359890932546,0.1225470820995666,0.0768359890932546
lag_1_valid_play_share,0.9031066229107607,0.9223524577457526,-0.10647570374233817,0.9112383434372084,0.9235499713029295,-0.07430123488623742,0.10647570374233817,0.07430123488623742
prior_3day_high_satisfaction_share,1.3255902681518261,1.3576774029756695,-0.06707075049089914,1.3351300668460357,1.3517569294231742,-0.035752820269847954,0.06707075049089914,0.035752820269847954
onehot_feat10,2.1590243902439026,2.196877287143206,-0.035498869192595095,2.174104795190569,2.1832278035186903,-0.008486466067046266,0.035498869192595095,0.008486466067046266
onehot_feat14,0.06975609756097562,0.07782385947792145,-0.03086393887741504,0.07073324529653922,0.07453299095686203,-0.014641077139482636,0.03086393887741504,0.014641077139482636
onehot_feat6,0.6607317073170732,0.6469870700170773,0.028894164540218897,0.6525783043136366,0.655942792466824,-0.0070741112275216995,0.028894164540218897,0.0070741112275216995
is_video_author,0.16170731707317074,0.17077335935594048,-0.02435349455508349,0.17424071853898607,0.17203783634379655,0.005822092903331555,0.02435349455508349,0.005822092903331555
onehot_feat1,2.102439024390244,2.1324713344718225,-0.021149785858273238,2.135488290116939,2.1156758760451453,0.013984940512875212,0.021149785858273238,0.013984940512875212
onehot_feat9,3.901219512195122,3.8697243230056113,0.01903363958347238,3.8670689418977884,3.8713267233421456,-0.002571294241433785,0.01903363958347238,0.002571294241433785
onehot_feat7,16.25170731707317,16.040253720419614,0.018082297325169392,16.221307113520595,16.090499693056373,0.011185638975915783,0.018082297325169392,0.011185638975915783
onehot_feat2,17.68512195121951,17.579165650158576,0.014249634643231176,17.705792602824552,17.60129529696448,0.0140496733231678,0.014249634643231176,0.0140496733231678
follow_user_num,77.99097560975609,80.83947304220541,-0.013906418365777674,82.896119007088,82.1050429559167,0.0036546262641665725,0.013906418365777674,0.0036546262641665725
onehot_feat4,0.8485898070262247,0.83765752409192,0.012550269902309143,,,,0.012550269902309143,
onehot_feat0,0.3568292682926829,0.3620395218345938,-0.010858594964375166,0.36118279525804897,0.3604664730557236,0.0014915933165511944,0.010858594964375166,0.0014915933165511944
onehot_feat8,178.9968292682927,178.02073676506464,0.010728433863364903,178.41973109995968,177.92147352807038,0.005449849333735221,0.010728433863364903,0.005449849333735221
friend_user_num,1.4302439024390243,1.4801171017321297,-0.01000466345375594,1.5194793925912657,1.4885753777154869,0.0060308937470553966,0.01000466345375594,0.0060308937470553966
onehot_feat11,0.03170731707317073,0.029275433032446938,0.009923863006709303,0.03026696980455816,0.029706334490347194,0.0023066524546728117,0.009923863006709303,0.0023066524546728117
fans_user_num,4.054146341463414,4.119541351549159,-0.009809981922460981,4.086191122788601,4.081040228436099,0.0007649262719066412,0.009809981922460981,0.0007649262719066412
onehot_feat13,0.0724390243902439,0.07489631617467675,-0.009406751117954354,0.078698220978992,0.07384204446684818,0.018296283960509183,0.009406751117954354,0.018296283960509183
onehot_feat3,683.5639024390244,681.6911441815076,0.006252130501392541,685.0617741618943,681.7062280571832,0.011190411310225537,0.006252130501392541,0.011190411310225537
register_days,259.13951219512194,257.5379360819712,0.00622424306267216,260.50169324506595,258.5852664260859,0.00727585218711866,0.00622424306267216,0.00727585218711866
lag_1_high_satisfaction_share,0.45611208613082904,0.4551907567828955,0.004985882965529017,0.45731223778621843,0.46059566822136183,-0.01836279691676249,0.004985882965529017,0.01836279691676249
