outcome,outcome_label,estimand,estimate,reference_mean,relative_effect,uses_weights,bootstrap_mean,bootstrap_std,ci_95_lower,ci_95_upper,proportion_mediated
Y_future_interactions,Future 7-day interactions,raw_high_minus_lower,176.42573881791512,252.47084654793852,0.6987964797924335,True,176.08756899808733,3.8050140938999433,167.9945589355034,183.53356276191047,-0.03507919350207021
Y_future_interactions,Future 7-day interactions,adjusted_total_effect_total_model,37.31392667681554,323.58066088007615,0.11531568844481915,True,37.73217523877299,2.7997223290288904,32.24401595076814,42.789020197310045,-0.03507919350207021
Y_future_interactions,Future 7-day interactions,gcomp_total_effect,37.27813008255753,323.5874897222652,0.11520263071527675,True,37.68952519540799,2.801957846900017,32.244354129313265,42.81347884461512,-0.03507919350207021
Y_future_interactions,Future 7-day interactions,natural_direct_effect,38.58581682111891,323.5874897222652,0.11924384609008548,True,39.03770554258006,2.7926693718355287,33.36342119318997,43.71538143738037,-0.03507919350207021
Y_future_interactions,Future 7-day interactions,natural_indirect_effect,-1.3076867385613804,362.1733065433841,-0.0036106657087516055,True,-1.3481803471720732,0.5287172379082763,-2.3047054768591027,-0.42898791099555,-0.03507919350207021
Y_future_interactions,Future 7-day interactions,reverse_indirect_check,-0.9696200302764544,323.5874897222652,-0.002996469459028463,True,-1.007729582687155,0.415667256433523,-1.7527875875587355,-0.2068972859080193,-0.03507919350207021
Y_future_interactions,Future 7-day interactions,mediator_shift_M1_minus_M0,0.023052149125248222,0.6066242614078813,0.03800070421144671,True,0.02366022549836887,0.00252705957909537,0.018513481160214052,0.027921419923863006,-0.03507919350207021
Y_future_active_days,Future 7-day active days,raw_high_minus_lower,0.7814449687312193,6.075628202000488,0.12861961640014727,True,0.7776182699732311,0.025353594466761924,0.7165842513699907,0.8151399359531881,0.7174592683820669
Y_future_active_days,Future 7-day active days,adjusted_total_effect_total_model,0.00813888833549037,6.423868328498928,0.001266976207993384,True,0.00947393580534785,0.02838597540132414,-0.043028841601563554,0.06313581815076583,0.7174592683820669
Y_future_active_days,Future 7-day active days,gcomp_total_effect,0.0073721455909672,6.42401459842517,0.0011475916621943015,True,0.008608981468971412,0.028358393737148095,-0.04521468100050794,0.06310079399810434,0.7174592683820669
Y_future_active_days,Future 7-day active days,natural_direct_effect,0.0020829314088657938,6.42401459842517,0.0003242413878350181,True,0.004112297429679638,0.031213883771889703,-0.044852875149414634,0.06480084220420648,0.7174592683820669
Y_future_active_days,Future 7-day active days,natural_indirect_effect,0.005289214182101407,6.426097529834037,0.0008230833966564478,True,0.004496684039291775,0.009571781060905645,-0.014474288410655504,0.020117527266129004,0.7174592683820669
Y_future_active_days,Future 7-day active days,reverse_indirect_check,0.012530411316171615,6.42401459842517,0.001950557727444052,True,0.012948271650296264,0.005773201062811991,0.0034152975855337667,0.023228615484506047,0.7174592683820669
Y_future_active_days,Future 7-day active days,mediator_shift_M1_minus_M0,0.023052149125248222,0.6066242614078813,0.03800070421144671,True,0.02366022549836887,0.00252705957909537,0.018513481160214052,0.027921419923863006,0.7174592683820669
Y_future_play_hours,Future 7-day play hours,raw_high_minus_lower,0.40801473615920936,0.6149067472418747,0.6635392081634064,True,0.4071102862894428,0.011511205028369125,0.3824551755150942,0.42896990653011685,0.056237269823391715
Y_future_play_hours,Future 7-day play hours,adjusted_total_effect_total_model,0.07814753784080908,0.7838848218716478,0.09969262787129823,True,0.08092938685459479,0.007032276174744204,0.06858267127954051,0.0955187913230044,0.056237269823391715
Y_future_play_hours,Future 7-day play hours,gcomp_total_effect,0.07835024833728214,0.7838461512098602,0.09995615621298792,True,0.08111058997979828,0.007046228615458569,0.06886493161744255,0.09543483734557653,0.056237269823391715
Y_future_play_hours,Future 7-day play hours,natural_direct_effect,0.07394404428080867,0.7838461512098602,0.09433489488552904,True,0.0773868018657093,0.007130552360057929,0.06300282327350507,0.09268261690950558,0.056237269823391715
Y_future_play_hours,Future 7-day play hours,natural_indirect_effect,0.004406204056473484,0.8577901954906688,0.005136692025202118,True,0.003723788114088981,0.0012537579312791667,0.0014256310235787207,0.006026031845178002,0.056237269823391715
Y_future_play_hours,Future 7-day play hours,reverse_indirect_check,0.002491785333131453,0.7838461512098602,0.0031789214366689206,True,0.0019189318151279179,0.0009423979809265552,0.00017434035549881521,0.003474113412344947,0.056237269823391715
Y_future_play_hours,Future 7-day play hours,mediator_shift_M1_minus_M0,0.023052149125248222,0.6066242614078813,0.03800070421144671,True,0.02366022549836887,0.00252705957909537,0.018513481160214052,0.027921419923863006,0.056237269823391715
