decile,user_days,metric_mean,future_interactions_mean,future_active_days_mean,future_play_hours_mean,same_day_satisfaction_mean,same_day_discovery_mean,metric
1,820,0.07995179102049757,58.17439024390244,3.830487804878049,0.146143625,0.6279488717683881,0.07995179102049757,discovery_breadth_score
2,820,0.17479230548886532,175.5487804878049,6.1865853658536585,0.43683614126016257,0.6136522926820936,0.17479230548886532,discovery_breadth_score
3,820,0.2459788187789031,294.40487804878046,6.704878048780488,0.7147694701897019,0.5994464697860385,0.2459788187789031,discovery_breadth_score
4,820,0.2862066925861833,354.06951219512194,6.787804878048781,0.8524789444444445,0.6009014278644748,0.2862066925861833,discovery_breadth_score
5,820,0.3166717038996662,380.2829268292683,6.869512195121951,0.9244533438346884,0.6096576802510387,0.3166717038996662,discovery_breadth_score
6,819,0.3427377376395713,403.1123321123321,6.829059829059829,0.9734129110704111,0.6136690077902969,0.3427377376395713,discovery_breadth_score
7,820,0.36780879826017565,427.23414634146343,6.901219512195122,1.0280698750000001,0.6235785430776067,0.36780879826017565,discovery_breadth_score
8,820,0.39579485175846796,442.50853658536585,6.9036585365853655,1.050534879403794,0.620487694232581,0.39579485175846796,discovery_breadth_score
9,820,0.42947956302405915,445.2731707317073,6.902439024390244,1.05662658299458,0.6267283106168229,0.42947956302405915,discovery_breadth_score
10,820,0.5135331717864062,426.41219512195124,6.748780487804878,1.0062525826558266,0.65017973234342,0.5135331717864062,discovery_breadth_score
1,820,0.42307843452176297,290.46585365853656,5.954878048780488,0.6253197032520326,0.42307843452176297,0.2785176058056537,satisfaction_depth_score
2,820,0.5092333220582431,331.6524390243902,6.530487804878049,0.7199362151084011,0.5092333220582431,0.305214849853339,satisfaction_depth_score
3,820,0.5472556670952038,343.94146341463414,6.6048780487804875,0.7620150111788618,0.5472556670952038,0.308760355859154,satisfaction_depth_score
4,820,0.5778423274926995,361.35853658536587,6.609756097560975,0.8286644640921409,0.5778423274926995,0.3195800648745999,satisfaction_depth_score
5,820,0.6048647587975248,356.4682926829268,6.670731707317073,0.8359952117208672,0.6048647587975248,0.31685564210401873,satisfaction_depth_score
6,819,0.6295433863674612,371.4749694749695,6.665445665445666,0.8809976804368471,0.6295433863674612,0.3261636371628574,satisfaction_depth_score
7,820,0.6556385628623324,368.0060975609756,6.709756097560976,0.9125753180894309,0.6556385628623324,0.3325790551172308,satisfaction_depth_score
8,820,0.6861176761891808,371.16219512195124,6.582926829268293,0.9301927676151762,0.6861176761891808,0.3376106080752895,satisfaction_depth_score
