path,size_kb
notebooks/projects/project_2_off_policy_evaluation/writeup/figures/01_fixed_policy_ope_estimates.png,111.525390625
notebooks/projects/project_2_off_policy_evaluation/writeup/figures/02_contextual_policy_value_and_risk.png,144.845703125
notebooks/projects/project_2_off_policy_evaluation/writeup/figures/03_lift_vs_support.png,142.990234375
notebooks/projects/project_2_off_policy_evaluation/writeup/figures/04_contextual_clipping_sensitivity.png,70.7021484375
notebooks/projects/project_2_off_policy_evaluation/writeup/final_project_summary.md,1.4990234375
notebooks/projects/project_2_off_policy_evaluation/writeup/resume_bullets.md,0.6923828125
notebooks/projects/project_2_off_policy_evaluation/writeup/tables/artifact_index.csv,1.876953125
notebooks/projects/project_2_off_policy_evaluation/writeup/tables/clipping_stability.csv,1.283203125
notebooks/projects/project_2_off_policy_evaluation/writeup/tables/contextual_clipping_stability.csv,0.7021484375
notebooks/projects/project_2_off_policy_evaluation/writeup/tables/contextual_policy_audit.csv,0.830078125
notebooks/projects/project_2_off_policy_evaluation/writeup/tables/contextual_policy_decision_table.csv,1.4287109375
notebooks/projects/project_2_off_policy_evaluation/writeup/tables/contextual_policy_estimates.csv,6.9873046875
notebooks/projects/project_2_off_policy_evaluation/writeup/tables/contextual_weight_diagnostics.csv,1.5693359375
notebooks/projects/project_2_off_policy_evaluation/writeup/tables/final_recommendation.csv,0.751953125
notebooks/projects/project_2_off_policy_evaluation/writeup/tables/limitations.csv,0.9150390625
notebooks/projects/project_2_off_policy_evaluation/writeup/tables/main_lgbm_ope_estimates.csv,4.75
notebooks/projects/project_2_off_policy_evaluation/writeup/tables/policy_risk_table.csv,1.78515625
notebooks/projects/project_2_off_policy_evaluation/writeup/tables/reward_model_rank_stability.csv,0.30078125
notebooks/projects/project_2_off_policy_evaluation/writeup/tables/split_rank_stability.csv,0.52734375
notebooks/projects/project_2_off_policy_evaluation/writeup/technical_summary_bullets.md,0.6943359375
