policy,estimator,clip,estimate,se,ci_95_lower,ci_95_upper,mean_weight,max_weight,p99_weight,ess_share,mean_abs_correction,mean_correction,avg_direct_component,observed_random_click_rate,lift_pp,relative_lift_pct
uniform,IPS,none,0.004980000000000009,0.00022260388928524005,0.004543696377000938,0.005416303622999079,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0,0.00976833943352533,0.0001363921953158877,0.004898151898276369,0.00498,8.673617379884035e-16,1.7763568394002505e-13
uniform,SNIPS,none,0.00498,0.00022260388928523964,0.00454369637700093,0.00541630362299907,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0,0.00976833943352533,0.0001363921953158877,0.004898151898276369,0.00498,0.0,0.0
uniform,DM,none,0.004898151898276369,1.3098608432006453e-05,0.0048724786257496365,0.004923825170803101,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0,0.00976833943352533,0.0001363921953158877,0.004898151898276369,0.00498,-0.008184810172363107,-1.6435361791893754
uniform,DR,none,0.0050345440935922565,0.00022596447381412598,0.00459165372491657,0.005477434462267943,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0,0.00976833943352533,0.0001363921953158877,0.004898151898276369,0.00498,0.005454409359225646,1.0952629235392974
fixed_ctr_weighted,IPS,none,0.005172435495276735,0.0002613105932336956,0.004660266732538692,0.005684604258014778,0.9969874863810886,2.7408420323290317,2.7408420323290317,0.7906281703853439,0.010967379487919447,-0.0006913892928249139,0.005972580040600351,0.00498,0.01924354952767349,3.864166571821981
fixed_ctr_weighted,SNIPS,none,0.005188064610571875,0.00026189789791399113,0.004674744730660453,0.0057013844904832975,0.9969874863810886,2.7408420323290317,2.7408420323290317,0.7906281703853439,0.010967379487919447,-0.0006913892928249139,0.005972580040600351,0.00498,0.020806461057187517,4.178004228350907
fixed_ctr_weighted,DM,none,0.005972580040600351,1.6504609443797284e-05,0.005940231006090508,0.006004929075110194,0.9969874863810886,2.7408420323290317,2.7408420323290317,0.7906281703853439,0.010967379487919447,-0.0006913892928249139,0.005972580040600351,0.00498,0.0992580040600351,19.931326116472903
fixed_ctr_weighted,DR,none,0.005281190747775438,0.00026757839356103937,0.004756737096395801,0.005805644399155075,0.9969874863810886,2.7408420323290317,2.7408420323290317,0.7906281703853439,0.010967379487919447,-0.0006913892928249139,0.005972580040600351,0.00498,0.03011907477754377,6.048006983442522
lgbm_softmax,IPS,none,0.004954937758498572,0.0005759530139726754,0.003826069851112128,0.006083805665885015,0.9954106986677946,33.99999999999837,5.113957253981835,0.16863190262862207,0.03216201661377005,-0.02271158984487164,0.028712647017149356,0.00498,-0.0025062241501428405,-0.5032578614744709
lgbm_softmax,SNIPS,none,0.004977782301446026,0.0005772082919601351,0.0038464540492041616,0.006109110553687891,0.9954106986677946,33.99999999999837,5.113957253981835,0.16863190262862207,0.03216201661377005,-0.02271158984487164,0.028712647017149356,0.00498,-0.00022176985539738847,-0.04453209947739012
