policy,estimator,min_estimate,max_estimate,estimate_range,min_ess_share,max_weight
epsilon_greedy_top_ctr,IPS,0.0016685000000000014,0.006238000000000011,0.004569500000000009,0.04029027734471953,29.05000000000005
epsilon_greedy_top_ctr,DR,0.006621708876439978,0.010801953803626191,0.004180244927186213,0.04029027734471953,29.05000000000005
epsilon_greedy_top_ctr,SNIPS,0.005697796521902452,0.006231114618346727,0.0005333180964442758,0.04029027734471953,29.05000000000005
ctr_weighted,DR,0.005281722334576203,0.005281722334576203,0.0,0.7906281703853439,2.7408420323290317
ctr_weighted,SNIPS,0.005188064610571875,0.005188064610571875,0.0,0.7906281703853439,2.7408420323290317
ctr_weighted,IPS,0.005172435495276735,0.005172435495276735,0.0,0.7906281703853439,2.7408420323290317
exposure_popularity,DR,0.00501997235295614,0.00501997235295614,0.0,0.9963992077386123,1.132200000000002
exposure_popularity,IPS,0.004970956400000009,0.004970956400000009,0.0,0.9963992077386123,1.132200000000002
exposure_popularity,SNIPS,0.004968021981181365,0.004968021981181365,0.0,0.9963992077386123,1.132200000000002
uniform,DR,0.0050341096944634175,0.0050341096944634175,0.0,1.0,1.0000000000000018
uniform,IPS,0.004980000000000009,0.004980000000000009,0.0,1.0,1.0000000000000018
uniform,SNIPS,0.00498,0.00498,0.0,1.0,1.0000000000000018
