segment_type,segment,rows,users,treatment_rate,observed_outcome_mean,aipw_ate,aipw_score_std,gcomp_component,mean_propensity,passes_size_filter,bootstrap_reps,bootstrap_mean,bootstrap_std,ci_95_lower,ci_95_upper,interval_crosses_zero,direction
prior_interactions_bucket,"(217.0, 581.0]",1169,91,0.4687767322497861,445.84345594525234,25.617023958725596,548.5773385249962,0.1568573307406384,0.4786505423410388,True,250,25.73528009271889,17.685503181956086,1.884659639420996,66.3297460143386,False,most_positive
day_of_week,Tuesday,623,91,0.4911717495987159,390.4574638844302,20.032096364203053,750.2360719316566,0.0096369131098004,0.4916878010117039,True,250,20.43141751554125,32.74181863812756,-24.338023038668307,90.85930826560984,True,most_positive
lag_interactions_bucket,"(75.0, 375.0]",1146,91,0.4851657940663176,448.0069808027923,16.21740441860698,575.5850393442236,0.0829082385773754,0.4859804560305953,True,250,16.06964997337901,18.412367248830023,-9.99257115250682,57.48259165009777,True,most_positive
prior_watch_ratio_bucket,"(-0.001, 2.26]",1175,75,0.2119148936170213,371.72,12.73188994763587,549.7271211299256,0.1168517669428822,0.224059886441413,True,250,12.413940349241944,17.387844911818725,-9.36831050160357,52.21102781928876,True,most_positive
prior_high_watch_bucket,"(-0.001, 1.127]",1175,73,0.1676595744680851,368.0731914893617,12.533652821325008,549.116334107766,0.055080217006336,0.1684597553274088,True,250,11.92160656326786,17.303079485744043,-11.315943629212503,52.92588206895715,True,most_positive
prior_watch_ratio_bucket,"(2.26, 2.59]",1174,89,0.4420783645655877,376.9199318568995,4.2636191468321964,157.11190850189732,0.1365549551303543,0.4354601236380019,True,250,3.906973061610653,5.089867236592886,-5.491237578805987,13.324309011611817,True,most_positive
prior_high_watch_bucket,"(1.127, 1.414]",1174,84,0.3424190800681431,386.3526405451448,2.4564257761291697,154.83236756695965,0.1259052453902761,0.3520775415155157,True,250,2.5918205542033577,4.673689384757041,-6.35199994071866,12.527427006970866,True,most_positive
day_of_week,Wednesday,711,91,0.4683544303797468,383.1898734177215,1.8366127334177356,168.866494227617,0.0150575518249061,0.4672647454620748,True,250,2.1470810324741354,7.8816487894841885,-12.463549726929022,18.648109086008525,True,most_positive
prior_watch_ratio_bucket,"(3.004, 11.372]",1175,73,0.6893617021276596,388.31063829787234,-13.29256388934125,268.3095836611352,-0.0664833064841119,0.7062784300737179,True,250,-13.592072715614826,7.052652349250562,-27.15687572137742,-0.8128169310864675,False,most_negative
prior_interactions_bucket,"(166.0, 217.0]",1164,91,0.5197594501718213,420.7345360824742,-12.432961475260988,205.3765398885941,0.0244363966011688,0.5120388577611903,True,250,-12.22670218334995,6.60187594668276,-26.70035904163488,0.3018719741015397,True,most_negative
prior_high_watch_bucket,"(1.708, 2.735]",1175,65,0.8646808510638297,389.312340425532,-9.113410429954364,276.426447053141,-0.0124469447897223,0.8668197113625067,True,250,-9.414001783462034,9.005232648364455,-27.93880004434498,7.241769712472764,True,most_negative
prior_interactions_bucket,"(123.0, 166.0]",1182,91,0.5177664974619289,386.92047377326566,-8.014516586985332,233.73598492294568,0.0061958833936094,0.5061214769889677,True,250,-8.505702074821134,6.1431127239724646,-20.41521294478684,2.5367234313078018,True,most_negative
day_of_week,Monday,625,91,0.48,393.7184,-6.450336219094801,170.78776658056347,0.0343831572184125,0.4809024411154108,True,250,-6.162306988849038,5.820916107996207,-18.46485886262349,4.098491304345751,True,most_negative
lag_interactions_bucket,"(53.0, 75.0]",1192,91,0.5159395973154363,409.1241610738255,-5.604257279420517,187.1178937323906,0.1010775886119052,0.5114807643306812,True,250,-5.661059707119552,5.326989620104694,-15.86175206550008,5.462016321782068,True,most_negative
lag_interactions_bucket,"(-0.001, 36.0]",1202,91,0.4916805324459234,290.30948419301166,-4.304734723753597,166.37700044010728,-0.0193985690961317,0.5012599341199211,True,250,-4.355492678073939,3.952349358844797,-11.892129943793842,3.59138520604607,True,most_negative
day_of_week,Sunday,621,91,0.5523349436392915,400.96779388083735,-3.457448441817496,201.6584978612686,0.024337724583012,0.5517300927074356,True,250,-4.001258620049354,7.8748489404118835,-20.500901412548664,9.541492483276254,True,most_negative
