unit_id,x00,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,segment,channel,tenure_band,true_m,true_g,treatment,outcome
0,0.30471707975443135,-1.0399841062404955,0.7504511958064572,0.9405647163912139,-1.9510351886538364,-1.302179506862318,0.12784040316728537,-0.3162425923435822,-0.016801157504288795,-0.85304392757358,0.8793979748628286,0.7777919354289483,high,paid,new,0.5265106117065277,-0.3054445511846871,0.9919770390430729,0.37786355042345454
1,0.06603069756121605,1.1272412069680329,0.4675093422520456,-0.8592924628832382,0.36875078408249884,-0.9588826008289989,0.8784503013072725,-0.049925910986252896,-0.18486236354526056,-0.6809295444039414,1.2225413386740303,-0.15452948206880215,mid,paid,loyal,-0.05918893841255113,0.9338444602235348,-0.7688977308577464,1.1135301442365155
2,-0.4283278221631072,-0.3521335504882296,0.5323091855533487,0.36544406436407834,0.4127326115959884,0.43082100300788273,2.1416476008704612,-0.4064150163846156,-0.5122427290715373,-0.8137727282478777,0.6159794225754956,1.1289722927208916,mid,organic,growing,-0.14075362215787302,0.8118788345655192,-0.6050663596973097,0.2691050660256411
3,-0.11394745765487507,-0.840156476962528,-0.8244812156912396,0.6505927878247011,0.7432541712034423,0.543154268305195,-0.6655097072886943,0.23216132306671977,0.11668580914072822,0.21868859672901295,0.8714287779481898,0.22359554877468227,mid,organic,growing,0.4883973967471298,1.3513659665575701,1.16809049939467,3.1332824548657183
4,0.6789135630718949,0.06757906948889146,0.28911939868998415,0.6312882258385404,-1.4571558198556664,-0.31967121635730134,-0.4703726542927955,-0.6388778482433419,-0.27514225122668373,1.4949413112343959,-0.8658311156932432,0.9682783545914808,mid,organic,mature,0.4346838708194698,0.04475182276983717,1.8115920236259122,3.2837170297283587
5,-1.6828697716158048,-0.33488502998577485,0.1627530651050056,0.5862223313592781,0.711226579792855,0.7933472351999252,-0.3487250722484376,-0.46235179266456716,0.8579758812571538,-0.1913043248816149,-1.2756863233379219,-1.1332872140034806,low,paid,growing,-1.1228099902293773,-0.24938614478542576,-2.934481888209876,-3.395505979152966
6,-0.9194522860016113,0.49716074405376404,0.14242573607056525,0.6904853540677682,-0.42725264633653426,0.15853969107671423,0.6255903939673367,-0.3093465397202384,0.45677523755741145,-0.6619259410666513,-0.3630538465650718,-0.3817378939983291,mid,organic,mature,-0.5370505630265688,0.345755967768389,1.103010675342726,2.073344324844778
7,-1.1958396455890397,0.4869724807855818,-0.46940234020272387,0.01249411872768743,0.48074665890590895,0.4465311760299441,0.6653851089727862,-0.09848548450942361,-0.42329831204415375,-0.07971821090639905,-1.6873344339580298,-1.4471124724230873,low,organic,mature,-0.29577056031740206,0.35482953394844013,0.8683891155907693,1.2951503306714434
8,-1.3226996123544024,-0.9972468276014818,0.3997742267234366,-0.9054790553600608,-0.3781625540393897,1.2992282977860654,-0.35626397106142593,0.7375155684670865,-0.933617680009877,-0.20543755786763002,-0.9500220549105812,-0.3390330759005625,low,paid,new,-0.8433003150141904,0.7441431787188244,-0.6441818148481574,1.890370973650749
9,0.8403081374573955,-1.7273204231923487,0.43442364354585733,0.2377356023322779,-0.5941499556967944,-1.4460578543884546,0.07212950771386951,-0.5294927090638024,0.23267621135470395,0.02185214552344288,1.6017788913209154,-0.23935562747302427,high,organic,new,2.2004849100593122,0.3262091960523322,1.959768286701314,2.1401071479000264
10,-1.023497492621865,0.17927563495631615,0.21999668397176517,1.3591875752404365,0.8351112459145785,0.35687105914950934,1.4633028912195618,-1.188763054322851,-0.6397515327497477,-0.9265759414055249,-0.38980980315576796,-1.3766861475563088,low,organic,mature,-0.5571910701559722,0.635368884271939,-0.1667576209368291,1.1645558160481413
11,0.6351509468144043,-0.22222269709877338,-1.4708062945026579,-1.0155790812075416,0.3135138474501953,0.8381265678943811,1.9967308916917865,2.9138624660073296,0.4144094332759964,-0.9895381200318641,-2.132046280731309,0.2677114623438358,mid,organic,growing,1.8305988042684875,1.3011134490762717,1.1900334436095172,2.7642977593963174
12,-0.812941095310326,-0.41535726017968533,-0.6120967990598081,-0.14079088641638526,1.0659802307876436,0.15704856744534462,-0.1586348370386883,-1.0356537528258116,-1.674682944704357,-0.4863079090733309,-0.05378255081832049,1.767929913579883,low,partner,growing,-0.22931049879215018,0.8552702829489296,-0.4070055187388202,0.7808767360516344
