row_id,engagement_score,baseline_value,support_need,prior_usage,mobile_user,selection_encouragement,treated,selected,outcome_observed,full_outcome,true_tau,true_treatment_propensity,true_selection_probability
0,0.30471707975443135,0.22511672703840255,-0.30978756379860756,0.6362648914316762,0,0.1780065830526892,1,0,0.0,3.8553204048033747,1.140925535374229,0.5595464411448882,0.7091329376883904
1,-1.0399841062404955,-0.053342962246727924,0.060236172935012884,1.5795941688675235,1,0.17764190757982173,1,1,2.79568827910574,2.79568827910574,0.8059789118093655,0.3708126431061125,0.5788672652534272
2,0.7504511958064572,0.8640436260742304,-1.2407559440975204,-0.6687912001471484,1,0.9859531662616283,1,1,6.691277341219557,6.691277341219557,1.5212949372725009,0.762672960007486,0.8633135369794652
3,0.9405647163912139,0.6067331774117265,-1.3877535617002592,-0.545453156528892,0,-0.3068070135976479,1,1,6.2559771321630695,6.2559771321630695,1.4649265118795884,0.7400047559913978,0.7568323027423987
4,-1.9510351886538364,-2.9858225341099236,0.18229778233798544,-0.20886676587261033,1,0.44275939628455846,1,0,0.0,1.885727706091651,0.12613804448625376,0.10979892991414061,0.3963935865099723
5,-1.302179506862318,0.5452422044284568,-0.7577805673149619,0.2912159213168894,1,0.28843694914343077,0,0,0.0,2.2816422272039554,0.9120195106801852,0.44570745835980935,0.4639398110502139
6,0.12784040316728537,-1.0034794095040838,-1.4525117170069197,0.09701776762285522,0,0.8755866731176111,0,0,0.0,3.9914255436196227,1.0266893610669008,0.5137085494361334,0.7761856363070037
7,-0.3162425923435822,-1.421728741448699,0.9653412923140626,0.6043079879670906,1,-0.8199104270178882,0,0,0.0,2.443105622840404,0.6911459114653933,0.2929414177898116,0.20650752908942063
8,-0.016801157504288795,-0.18847341037356372,-0.6317946729270923,-1.1251865422151421,0,-3.070855988088598,0,1,2.4110929303883237,2.4110929303883237,1.0307081663606026,0.5035829565744707,0.0877862641881789
9,-0.85304392757358,0.41097110903001155,1.1498116038653579,0.3968536892965491,0,-0.23686301052294362,0,0,0.0,2.174647712730062,0.7334035240745709,0.3164190257393713,0.20868720390956658
10,0.8793979748628286,-1.6407346102868243,0.02847079110942715,-0.742215380225654,0,-0.2309662091167659,0,0,0.0,2.2962592103275243,0.9708922230617408,0.45038148392133603,0.44592234204340364
11,0.7777919354289483,0.7045764170575515,0.2947588620553034,-0.14333390205557858,0,-1.1575188638821257,0,0,0.0,4.031367100330816,1.2706585602103393,0.6191541687566925,0.2873667406299671
12,0.06603069756121605,0.7633388475315999,-0.21149974609685293,1.708013627256206,0,-1.508060709637813,0,1,4.615638415016158,4.615638415016158,1.1521584761297294,0.5663403970095073,0.32462434369563387
13,1.1272412069680329,0.046976196299497744,-2.655162244545697,-1.3982428087660086,0,-0.5747009551584255,0,1,4.114269081136158,4.114269081136158,1.5543729556415025,0.7913319796084269,0.7242708550932133
14,0.4675093422520456,-0.8676236302270486,-1.1367864910537042,-0.27946746843937065,1,-0.11487723791158005,1,1,5.185646206598018,5.185646206598018,1.1804124401343248,0.5925453603708533,0.7281646900562819
15,-0.8592924628832382,-0.979378004189292,-0.12570945971872444,-1.2746457723106248,1,0.09542788731785279,1,1,3.362630841923122,3.362630841923122,0.7308411296226691,0.3323267316618437,0.43305358314610104
16,0.36875078408249884,1.0259321315802274,0.36472913729270456,0.15306797455177262,0,-2.2853055362966956,0,0,0.0,4.78255679518909,1.2096046020283884,0.5872165247697668,0.13633026842841903
