unit_id,engagement_score,recent_activity,content_fit,price_sensitivity,tenure_signal,mobile_user,treated,y_pre,y_post,delta_weekly_value,expected_untreated_trend,true_untreated_trend,true_tau,true_propensity
0,0.30471707975443135,0.33360230467454804,-1.322488522150932,-0.42249955247731835,0.5727820791649362,1,0,3.907775615487981,5.766276328046629,1.8585007125586483,0.3113290263201001,0.37428494996559447,0.9394037802479157,0.6146720751568646
1,-1.0399841062404955,1.2363431626109402,1.389147096559379,0.9695493139349181,0.251106907779703,1,0,5.808336223423512,6.529171489001978,0.720835265578466,0.35167944918217736,0.20282831629608478,0.9378599398654336,0.40694376823895306
2,0.7504511958064572,1.2158293597470884,-0.3482412012537256,-0.4326501646030613,0.3711314588500396,0,1,4.734419607957444,6.6214763809720605,1.8870567730146162,0.649285152723888,0.7521853575289912,1.2404951429092879,0.7010270622555883
3,0.9405647163912139,-0.4509568265201174,-0.07182410341343931,0.35496995250337543,0.23302700631496553,0,0,4.650213731508323,5.758102115521465,1.1078883840131422,0.36695246171429957,0.43466870548326186,1.2579961320080586,0.5220377092641098
4,-1.9510351886538364,0.1940174494939909,0.2835351047026308,-0.12540444123452998,0.23697714578537554,0,1,3.023086685528826,2.3522207967997018,-0.6708658887291241,-0.15877908839146265,-0.19906133170089385,0.4068321263319945,0.2761340209214378
5,-1.302179506862318,-1.864102032152144,-1.3028389130875562,0.044446728859096486,0.36757091818084797,1,1,1.81399635437897,1.179641515748928,-0.6343548386300422,-0.5209796503821997,-0.4626827487765461,0.3118604349974352,0.21941446991478514
6,0.12784040316728537,0.09909300852192908,0.40729017984017907,0.09303681061097219,0.9242196850080998,0,1,4.525493394617176,5.667224149936543,1.141730755319367,0.34122871905771224,0.45084743312218517,1.1326111644769488,0.49151078357506794
7,-0.3162425923435822,-0.7939894278319191,-0.419615480669006,-0.4457067568314786,0.8348978676382459,1,0,4.173685350160848,3.6400733982220115,-0.5336119519388363,0.06332393777059661,-0.010268954103722527,0.9512672360372164,0.4427471539552086
8,-0.016801157504288795,-0.1863824259605165,0.29370278557554075,-1.2296215128794679,0.5124181851356127,1,1,5.383319860371127,6.97674868216745,1.5934288217963228,0.3958649292504572,0.3229272447589285,1.3519885181993043,0.6003042798314624
9,-0.85304392757358,-1.6853718648166949,-0.5780509205370341,0.7661317455737034,0.4777695138776078,1,0,1.877281383984872,1.2766491313336927,-0.6006322526511794,-0.3472845676707404,-0.3761347415819266,0.5420021333789329,0.22538637107875353
