unit_id,x00,x01,x02,x03,x04,x05,x06,x07,hidden_intent,proxy_light,proxy_strong,true_m,true_g,treatment,outcome
0,-1.1575496471201177,0.2897558023277514,0.7808540692250985,0.5439736447085796,-0.9613826412454365,1.071008665601581,0.7014556601104507,0.7049734550988194,0.6823300465392736,2.0800382022302815,0.1277153114554872,-0.15598564977288915,-0.8699038764181617,1.0780753068286295,0.6671200244595683
1,0.7450626026618294,1.1043472383723143,2.242972395734681,-0.6114931227230745,0.04721118309074067,1.7542346824437531,-1.3379798662995022,0.3255744688871539,-0.1754305455119827,1.503570675151749,0.35443170339450514,0.27232890310512786,-0.4761476411095368,0.42438915723202686,1.6360210241792186
2,-0.6891177159876936,-0.019821809991921974,0.4747532459975647,-1.9311014161570534,-0.992478278066638,-1.4054710825938028,-0.23109550849022736,-0.6888470849596248,-0.2163580890569558,0.11020647151803352,0.19665893648340593,-0.7349880411045163,-0.4943317193359855,0.9705885386942633,-1.0988671688477225
3,1.5151057798585295,-0.6031715465509421,1.7136844875562847,-0.40624919079488403,0.2714095207976621,0.0398402000868698,0.011518318252040626,-1.127178008332383,1.137581557043828,0.5863885504842957,-0.3084007941426401,1.9638183592699323,1.506896020400971,1.5212962990065089,1.159018886568498
4,0.3347129753783593,0.3838915485647446,0.23783551398709574,0.6214116743600673,-0.8192455465198243,-0.2975792055303953,-0.6615627047052898,-1.7041703253027702,0.4535529989629502,0.14642067714484935,-0.3636196476960622,0.3991810025060776,0.042073778961200875,0.8967024236541463,1.0391166031681944
5,0.36753632089104854,-0.6354887933396248,-0.07772050691944417,2.249767837979912,0.23031052894935639,0.10741590014418691,1.073945782233389,1.2463539133011066,0.7126061283614572,3.3612089816649053,0.2929247914180665,1.239311132121685,0.8580649109446508,0.462653001969188,0.7249934933175866
6,1.8128926970985009,-0.5214839732612805,1.79593494193053,-0.1313577981482964,-1.1582267930006607,-0.9288913163533531,1.1078468780243202,0.7625415633178573,0.3240353288754248,-0.12785734045910596,0.3298113173259585,1.8002868452186662,1.3838012531148964,2.0232145345081154,2.7194915465218243
7,1.2825238485307555,-0.9218244626383227,-0.33978995341316276,-1.1977171150486927,-1.9755857390181082,-0.018063475670969564,1.58269462442545,1.112087125079714,-0.19371242481198583,-0.06110457518373254,-0.042734199625530156,0.7085476223507379,0.3919814081043753,-0.3203165214056318,-0.25325780191060737
8,-0.7771852726914085,1.1674697823227693,-0.5767782426282639,0.3121118125102881,0.8269891880975326,-0.4075856277256397,-0.884637432295206,0.6496126515026776,-0.043451366439865934,0.22013717346487466,-0.0587133537281236,-1.054138615078469,-0.2953017324347579,-2.207870288588075,-1.5836031829107733
9,-0.17720307799839538,-0.5518358586639175,0.6342960889875352,-0.2149706802314874,0.3828658040818876,-0.9656088638585673,0.724027224053564,-0.9466653750721706,-0.5867438021186937,-0.30512913862490537,0.012075914880614047,0.002409618746819553,0.23433593884717246,-1.2469201855603003,-0.35196116716378606
