row_id,outcome,treatment,running_score,cutoff_offer,engagement_score,baseline_value,mobile_user,true_treatment_probability,true_effect_at_cutoff
0,2.436735998223866,0,-0.1733596804905655,0,0.5322584599481344,0.219500432896019,0,0.2239641312423207,1.0
1,4.890023458328809,1,0.9535842010167062,1,-0.6354287316930969,-0.05443722768518416,1,0.786692788604089,1.0
2,2.495195468940156,0,0.011307667524139031,1,-0.7048885558187586,0.18474318997521105,0,0.6982704580119847,1.0
3,1.8054031662785683,0,0.308594515412971,1,-1.0949727782529077,1.1376869524583886,0,0.6644314442220568,1.0
4,2.4536313551702404,0,0.4155569648502455,1,-0.4865127977661562,-0.5623551310601266,1,0.7714131225421169,1.0
5,4.187120834200759,1,0.7640628652135077,1,-1.4794936599190227,0.386756582814134,1,0.7116800829085641,1.0
6,0.5541160592697616,0,-0.22628569509364205,0,-1.7111473712244034,1.387657146425459,0,0.0608334899742701,1.0
7,2.7221018123917538,1,-0.7672598052558035,0,0.22764034446141068,-0.28784303739538813,0,0.1815149542984218,1.0
8,3.4176258282630143,1,-0.10017806520922679,0,-0.9051748677421605,-1.6090607280868015,0,0.2310894405196259,1.0
9,0.9300141676234585,0,-0.7491148729555037,0,-1.907809559339362,-0.30856898017557344,1,0.07702309140361453,1.0
10,1.713681089404772,0,-0.30040012838376806,0,-0.9810952899566034,0.40144716577544715,1,0.13085533860045048,1.0
11,3.934540394112551,1,0.5719345616607048,1,0.6903240806462082,1.235955135705362,0,0.7708327635369523,1.0
12,1.9821392904801698,0,-0.3703853170017166,0,0.7931484690292326,1.4736472173128834,0,0.17108070939880898,1.0
13,5.229795496797068,1,0.49197622028615107,1,0.9951922260345646,-1.1324141821212406,0,0.87441427620947,1.0
14,5.061147155581472,1,0.4633247949093795,1,1.1409812202829912,-0.41007425622094223,0,0.8505180148557376,1.0
15,3.440247196827414,1,0.914548667172405,1,-0.5290412781435682,-0.33877391289295167,0,0.800262785982332,1.0
16,4.655123663158013,1,0.29528542842357486,1,0.8499825535564295,-0.13089630737479502,1,0.8113578142466993,1.0
17,2.2745419129274116,0,-0.06290308527441191,0,0.031732598418822026,-1.0941910755668152,0,0.2603220261216608,1.0
18,2.503282724541209,1,-0.17583695318994397,0,0.014504973251558211,-0.5567571896092182,1,0.22892857999175112,1.0
19,1.7774146916143754,0,-0.445767434117762,0,0.3532879412445557,-1.1021818010484272,0,0.2460902743747439,1.0
20,3.9988958657359337,1,0.14656286296149212,1,0.7587264579450558,-0.28500451684603506,1,0.8010615326080136,1.0
21,2.2646471955683887,0,-0.06133060284028513,0,0.6842192398075471,0.4394076802371129,1,0.23172820655367002,1.0
22,4.736959462298804,1,0.48818379800019174,1,0.2675914922041955,-0.46532542302384156,1,0.8110472953711787,1.0
23,1.6286801199644638,0,-0.36467097691345796,0,0.8695847182366305,-1.0092219868951207,0,0.2746744372345597,1.0
24,2.2414216326927,0,-0.9123270494989566,0,-0.36232092289631596,-0.9206049174536695,1,0.16572198659341447,1.0
25,3.6625200193672987,1,0.07590811692000665,1,0.6710806281676607,-1.9294014755742617,1,0.856802739784954,1.0
26,4.950950131524304,0,0.9495545479344181,1,-0.5059727788004418,-0.7696732421181417,1,0.821452654579457,1.0
27,3.0598196257124357,0,-0.15869192239208885,0,-1.2872410970350328,-0.6105534039478919,1,0.16736472751479692,1.0
28,4.337306874270357,1,0.07231329555859123,1,0.05848246198749645,-3.0605482993607205,0,0.871131118718491,1.0
29,4.067997601769813,1,0.7894110359399975,1,-0.384695486959593,-1.8299253782663618,0,0.8571151236578747,1.0
30,0.8750559998046099,0,-0.3946174480140181,0,-0.14004276744674285,1.5434049316536917,0,0.11969226852039372,1.0
31,5.558615865957193,1,0.3668664124648555,1,0.4336073323805551,-0.2746478730914002,1,0.8020155945398721,1.0
32,2.560521159497806,1,-0.3043255279440733,0,-1.1219441686610807,1.3067461826201867,0,0.08728690202661263,1.0
