run,source,edge_type,target,sample_size
bic_ges_n_100,need,---,intent,100
bic_ges_n_100,need,---,match,100
bic_ges_n_100,intent,---,match,100
bic_ges_n_100,intent,-->,renewal,100
bic_ges_n_100,match,---,engagement,100
bic_ges_n_100,engagement,-->,renewal,100
bic_ges_n_100,engagement,---,support,100
bic_ges_n_250,need,-->,match,250
bic_ges_n_250,intent,-->,match,250
bic_ges_n_250,intent,-->,renewal,250
bic_ges_n_250,match,-->,engagement,250
bic_ges_n_250,engagement,-->,renewal,250
bic_ges_n_250,engagement,-->,support,250
bic_ges_n_500,need,-->,match,500
bic_ges_n_500,intent,-->,match,500
bic_ges_n_500,intent,-->,renewal,500
bic_ges_n_500,match,-->,engagement,500
bic_ges_n_500,engagement,-->,renewal,500
bic_ges_n_500,engagement,-->,support,500
bic_ges_n_1000,need,-->,match,1000
bic_ges_n_1000,intent,-->,match,1000
bic_ges_n_1000,intent,-->,renewal,1000
bic_ges_n_1000,match,-->,engagement,1000
bic_ges_n_1000,engagement,-->,renewal,1000
bic_ges_n_1000,engagement,-->,support,1000
bic_ges_n_2500,need,-->,match,2500
bic_ges_n_2500,intent,-->,match,2500
bic_ges_n_2500,intent,-->,renewal,2500
bic_ges_n_2500,match,-->,engagement,2500
bic_ges_n_2500,engagement,-->,renewal,2500
bic_ges_n_2500,engagement,-->,support,2500
