artifact_type,path,size_kb
datasets,datasets/14_synthetic_latent_truth.csv,19.14
datasets,datasets/14_synthetic_observed_indicators.csv,57.78
figures,figures/14_cross_loading_sensitivity.png,49.15
figures,figures/14_gin_mi_learned_graph.png,72.15
figures,figures/14_indicator_correlation_heatmap.png,130.9
figures,figures/14_method_comparison.png,41.91
figures,figures/14_noise_family_order_stability.png,41.83
figures,figures/14_runtime_sketch.png,58.17
figures,figures/14_sample_noise_sensitivity.png,58.83
figures,figures/14_true_latent_measurement_graph.png,84.37
tables,tables/14_artifact_manifest.csv,1.48
tables,tables/14_cross_loading_sensitivity.csv,0.74
tables,tables/14_data_audit.csv,0.61
tables,tables/14_gin_hsic_cluster_assignments.csv,0.27
tables,tables/14_gin_hsic_cluster_summary.csv,0.22
tables,tables/14_gin_hsic_graph_edges.csv,0.1
tables,tables/14_gin_hsic_metrics.csv,0.17
tables,tables/14_gin_mi_cluster_assignments.csv,0.3
tables,tables/14_gin_mi_cluster_summary.csv,0.27
tables,tables/14_gin_mi_graph_edges.csv,0.13
tables,tables/14_gin_mi_metrics.csv,0.18
tables,tables/14_indicator_correlation.csv,0.76
tables,tables/14_indicator_metadata.csv,0.25
tables,tables/14_method_comparison.csv,0.24
tables,tables/14_noise_family_order_stability.csv,0.08
tables,tables/14_noise_family_sensitivity.csv,1.27
tables,tables/14_package_versions.csv,0.08
tables,tables/14_reporting_checklist.csv,1.26
tables,tables/14_runtime_sketch.csv,0.15
tables,tables/14_sample_noise_sensitivity.csv,1.3
tables,tables/14_true_indicator_loadings.csv,0.31
