dataset_name,variable,mean,std,min,median,max,skew,kurtosis
linear_gaussian,need,7.105427357601002e-18,0.9999999999999999,-3.371900490835812,0.01966231315144459,3.3163577552499786,-0.010638952368953205,0.003970519400361194
linear_gaussian,intent,-1.1368683772161604e-17,1.0,-3.4679620218885256,-0.01294955514532455,3.3899822148202037,0.02084750328870525,-0.07762626805951767
linear_gaussian,match,-2.1316282072803004e-18,1.0,-3.5962722119960238,0.0011269913102639239,3.9176308799382324,-0.027568969059702613,0.014416282666804836
linear_gaussian,engagement,-6.3948846218409015e-18,1.0,-3.404626991429519,0.004448508913968072,3.4691117616480405,-0.0329655784649189,0.018804800141310363
linear_gaussian,renewal,-7.105427357601002e-18,0.9999999999999999,-3.418065145109376,-0.024578803023412085,3.122549129295865,0.11105202847338706,-0.11967217553788778
linear_gaussian,support,6.3948846218409015e-18,0.9999999999999998,-3.2501202867369416,-0.007028105886379413,3.174916397098417,-0.022462657239189113,-0.2037196292938308
linear_nongaussian,need,1.4210854715202004e-17,1.0,-6.499778720826619,0.007874190496095522,6.786757564168737,-0.06402335987045144,3.5228231126778997
linear_nongaussian,intent,1.1368683772161604e-17,1.0,-7.262542069278115,0.016406046511882186,6.225672014556627,-0.24453555599959131,5.4955133743634095
linear_nongaussian,match,1.4210854715202004e-17,1.0,-5.379496462777791,0.00831141517754876,4.6000443150456025,-0.15474307714635585,1.6692821876884372
linear_nongaussian,engagement,5.684341886080802e-18,1.0,-4.766194071668181,0.006455375052254855,5.646124080589654,0.02037908672590895,1.669102059457665
linear_nongaussian,renewal,5.684341886080802e-18,1.0,-6.663708711520713,0.02194563508069354,4.560686679123044,-0.16584146949110712,2.2117915384851425
linear_nongaussian,support,8.526512829121201e-18,1.0,-4.4894562822695105,-0.0048563624875619885,4.9801483870578975,0.1846902550445777,1.9355067377073931
nonlinear_continuous,need,-9.947598300641403e-18,0.9999999999999998,-3.532442770671984,-0.0017784284053289552,3.4980584539757698,0.08227385137616658,0.06046541693095975
nonlinear_continuous,intent,-3.268496584496461e-17,1.0,-3.331328996771737,-0.01384540378576234,3.65109435998746,0.008728138848625338,0.14801194211787694
nonlinear_continuous,match,-2.842170943040401e-18,1.0000000000000002,-3.857333257523174,-0.10677072765814447,4.149024016137464,0.4700579982987384,0.3394040857609606
nonlinear_continuous,engagement,2.0605739337042904e-17,1.0,-2.9306358612990993,-0.14341199323357348,5.895319454652672,0.7843656080941961,1.1670493118285226
nonlinear_continuous,renewal,1.5631940186722205e-17,1.0000000000000002,-2.5729454983078743,-0.116070403938991,5.0937279409596945,0.7521641561683946,0.974964882213277
nonlinear_continuous,support,-1.1368683772161604e-17,1.0,-3.1379661520487367,-0.058984977987724035,4.684107406326783,0.4113224271986569,0.5858190497409219
hidden_confounder_observed,need,0.0,1.0,-3.2817140426832245,0.002838978410254862,3.642424816025777,0.05174891582961096,0.022779974321241347
hidden_confounder_observed,intent,2.5579538487363606e-17,1.0,-3.5344682395454194,-0.032417330291819896,3.51628434901826,0.05818906372761043,0.03627539781944389
hidden_confounder_observed,match,1.8474111129762604e-17,1.0,-3.271312583593834,-0.01036012443826078,3.2443639403439692,-0.02467038147464673,-0.13513933815731605
hidden_confounder_observed,engagement,1.5631940186722205e-17,0.9999999999999998,-3.431550626880824,0.02029023812286658,3.012661338834878,-0.07328168372145338,-0.061107909162334995
hidden_confounder_observed,renewal,5.684341886080802e-18,1.0,-3.603820960830162,0.009022278987181352,4.69752062935763,0.008882211746791782,-0.12434565186794
hidden_confounder_observed,support,9.947598300641403e-18,0.9999999999999998,-3.79889858058523,-0.0014877516098283812,3.7949915499448057,0.041218554509222106,0.0128858418110811
nonstationary_continuous,need,2.842170943040401e-18,1.0000000000000002,-3.460023635754732,-0.0018659523195185578,3.8537523389098203,0.0037631797560277844,-0.01788630130704405
nonstationary_continuous,intent,-5.684341886080802e-18,1.0,-3.4038167778731054,0.009050263215747173,3.344952362664602,-0.02654864210908079,-0.143244144325831
nonstationary_continuous,match,1.7053025658242403e-17,1.0,-3.1412182350747657,0.005180433232688568,3.5022847106319617,0.04116878169663427,0.03827236206476492
nonstationary_continuous,engagement,2.1316282072803006e-17,1.0,-3.5824442441303423,0.004209617247440135,3.456546645141953,-0.00760913164571504,-0.0058074420156213336
nonstationary_continuous,renewal,-7.105427357601002e-18,1.0,-3.759576321409871,0.031422738863715945,3.0416409552404557,-0.09459967067345881,0.06697354115598131
nonstationary_continuous,support,-2.842170943040401e-18,1.0,-3.275720955066634,-0.008458345503013501,3.429939704908639,0.047954335297866496,-0.0635271741667558
