run,source,edge_type,target,method,elapsed_seconds,coefficient,abs_coefficient
PC_tier_constrained,baseline_need,-->,discovery_quality,PC_tier_constrained,0.009973214939236641,,
PC_tier_constrained,baseline_need,-->,retention_value,PC_tier_constrained,0.009973214939236641,,
PC_tier_constrained,catalog_fit,-->,discovery_quality,PC_tier_constrained,0.009973214939236641,,
PC_tier_constrained,onboarding_friction,-->,early_engagement,PC_tier_constrained,0.009973214939236641,,
PC_tier_constrained,onboarding_friction,-->,support_contact,PC_tier_constrained,0.009973214939236641,,
PC_tier_constrained,discovery_quality,-->,early_engagement,PC_tier_constrained,0.009973214939236641,,
PC_tier_constrained,early_engagement,-->,retention_value,PC_tier_constrained,0.009973214939236641,,
PC_tier_constrained,support_contact,-->,retention_value,PC_tier_constrained,0.009973214939236641,,
GES_BIC,baseline_need,-->,discovery_quality,GES_BIC,0.017600297927856445,,
GES_BIC,baseline_need,-->,retention_value,GES_BIC,0.017600297927856445,,
GES_BIC,catalog_fit,-->,discovery_quality,GES_BIC,0.017600297927856445,,
GES_BIC,onboarding_friction,-->,early_engagement,GES_BIC,0.017600297927856445,,
GES_BIC,onboarding_friction,---,support_contact,GES_BIC,0.017600297927856445,,
GES_BIC,discovery_quality,-->,early_engagement,GES_BIC,0.017600297927856445,,
GES_BIC,discovery_quality,-->,retention_value,GES_BIC,0.017600297927856445,,
GES_BIC,early_engagement,-->,retention_value,GES_BIC,0.017600297927856445,,
GES_BIC,support_contact,-->,retention_value,GES_BIC,0.017600297927856445,,
DirectLiNGAM,baseline_need,-->,discovery_quality,DirectLiNGAM,0.028606398031115532,0.6345886912128744,0.6345886912128744
DirectLiNGAM,catalog_fit,-->,discovery_quality,DirectLiNGAM,0.028606398031115532,0.5369977727617573,0.5369977727617573
DirectLiNGAM,onboarding_friction,-->,early_engagement,DirectLiNGAM,0.028606398031115532,-0.3993680248019805,0.3993680248019805
DirectLiNGAM,discovery_quality,-->,early_engagement,DirectLiNGAM,0.028606398031115532,0.7645739504891803,0.7645739504891803
DirectLiNGAM,onboarding_friction,-->,support_contact,DirectLiNGAM,0.028606398031115532,0.6623038874664771,0.6623038874664771
DirectLiNGAM,baseline_need,-->,retention_value,DirectLiNGAM,0.028606398031115532,0.27540619532182686,0.27540619532182686
DirectLiNGAM,discovery_quality,-->,retention_value,DirectLiNGAM,0.028606398031115532,0.1755423942277127,0.1755423942277127
DirectLiNGAM,early_engagement,-->,retention_value,DirectLiNGAM,0.028606398031115532,0.46239446555110186,0.46239446555110186
DirectLiNGAM,support_contact,-->,retention_value,DirectLiNGAM,0.028606398031115532,-0.27714159210937866,0.27714159210937866
