artifact_type,path,size_kb
datasets,datasets/13_lagged_design_matrix.csv,419.63
datasets,datasets/13_synthetic_time_series.csv,143.24
datasets,datasets/13_synthetic_time_series_standardized.csv,143.26
figures,figures/13_correlation_and_autocorrelation.png,145.52
figures,figures/13_granger_lasso_lag_heatmaps.png,125.66
figures,figures/13_granger_runtime_sketch.png,61.38
figures,figures/13_granger_sample_size_sensitivity.png,57.37
figures,figures/13_granger_seed_stability.png,64.47
figures,figures/13_granger_threshold_sensitivity.png,68.92
figures,figures/13_method_comparison_metrics.png,70.14
figures,figures/13_time_series_slice.png,517.58
figures,figures/13_true_temporal_graph.png,133.36
figures,figures/13_var_lingam_heatmaps.png,165.38
tables,tables/13_artifact_manifest.csv,1.66
tables,tables/13_autocorrelation.csv,0.32
tables,tables/13_contemporaneous_correlation.csv,0.71
tables,tables/13_data_audit.csv,0.56
tables,tables/13_granger_lasso_edges.csv,0.82
tables,tables/13_granger_lasso_metrics.csv,0.24
tables,tables/13_granger_runtime_sketch.csv,0.13
tables,tables/13_granger_sample_size_sensitivity.csv,0.49
tables,tables/13_granger_seed_stability.csv,0.79
tables,tables/13_granger_threshold_sensitivity.csv,0.63
tables,tables/13_method_comparison_metrics.csv,0.53
tables,tables/13_naive_iid_pc_edges.csv,0.11
tables,tables/13_package_versions.csv,0.1
tables,tables/13_pairwise_granger_match_engagement.csv,0.16
tables,tables/13_reporting_checklist.csv,1.1
tables,tables/13_time_series_tool_guidance.csv,0.72
tables,tables/13_time_step_check.csv,0.09
tables,tables/13_true_temporal_edges.csv,0.4
tables,tables/13_var_lingam_edges.csv,1.26
tables,tables/13_var_lingam_metrics.csv,0.4
