artifact_type,file_name,relative_path,size_kb
table,06_artifact_manifest.csv,outputs/tables/06_artifact_manifest.csv,2.8
table,06_fci_alpha_sensitivity_edges.csv,outputs/tables/06_fci_alpha_sensitivity_edges.csv,3.2
table,06_fci_alpha_sensitivity_messages.csv,outputs/tables/06_fci_alpha_sensitivity_messages.csv,0.5
table,06_fci_alpha_sensitivity_metrics.csv,outputs/tables/06_fci_alpha_sensitivity_metrics.csv,0.6
table,06_fci_edge_property_summary.csv,outputs/tables/06_fci_edge_property_summary.csv,0.1
table,06_fci_full_with_latent_edges.csv,outputs/tables/06_fci_full_with_latent_edges.csv,0.7
table,06_fci_full_with_latent_messages.csv,outputs/tables/06_fci_full_with_latent_messages.csv,0.2
table,06_fci_observed_edge_classification.csv,outputs/tables/06_fci_observed_edge_classification.csv,0.7
table,06_fci_observed_edges.csv,outputs/tables/06_fci_observed_edges.csv,0.5
table,06_fci_observed_messages.csv,outputs/tables/06_fci_observed_messages.csv,0.1
table,06_fci_observed_metrics.csv,outputs/tables/06_fci_observed_metrics.csv,0.3
table,06_fci_reading_guide.csv,outputs/tables/06_fci_reading_guide.csv,0.8
table,06_field_guide.csv,outputs/tables/06_field_guide.csv,0.5
table,06_focused_match_renewal_edges.csv,outputs/tables/06_focused_match_renewal_edges.csv,0.9
table,06_latent_common_cause_pairs.csv,outputs/tables/06_latent_common_cause_pairs.csv,0.1
table,06_latent_confounder_reporting_checklist.csv,outputs/tables/06_latent_confounder_reporting_checklist.csv,0.9
table,06_loaded_dataset_summary.csv,outputs/tables/06_loaded_dataset_summary.csv,0.2
table,06_observed_correlation_matrix.csv,outputs/tables/06_observed_correlation_matrix.csv,0.7
table,06_observed_data_audit.csv,outputs/tables/06_observed_data_audit.csv,0.5
table,06_package_versions.csv,outputs/tables/06_package_versions.csv,0.1
table,06_pag_endpoint_vocabulary.csv,outputs/tables/06_pag_endpoint_vocabulary.csv,0.8
table,06_pc_observed_edge_classification.csv,outputs/tables/06_pc_observed_edge_classification.csv,0.7
table,06_pc_observed_edges.csv,outputs/tables/06_pc_observed_edges.csv,0.4
table,06_pc_observed_metrics.csv,outputs/tables/06_pc_observed_metrics.csv,0.3
table,06_pc_vs_fci_metrics.csv,outputs/tables/06_pc_vs_fci_metrics.csv,0.3
figure,06_fci_alpha_sensitivity.png,outputs/figures/06_fci_alpha_sensitivity.png,93.5
figure,06_fci_full_with_latent_observed_pag.png,outputs/figures/06_fci_full_with_latent_observed_pag.png,97.5
figure,06_fci_low_alpha_pag.png,outputs/figures/06_fci_low_alpha_pag.png,85.1
figure,06_fci_observed_pag.png,outputs/figures/06_fci_observed_pag.png,96.0
figure,06_full_truth_dag_with_latent.png,outputs/figures/06_full_truth_dag_with_latent.png,91.9
figure,06_observed_correlation_heatmap.png,outputs/figures/06_observed_correlation_heatmap.png,95.2
figure,06_pc_observed_graph.png,outputs/figures/06_pc_observed_graph.png,95.5
figure,06_pc_vs_fci_metrics.png,outputs/figures/06_pc_vs_fci_metrics.png,84.5
