artifact_type,file_name,relative_path,size_kb
table,05_artifact_manifest.csv,outputs/tables/05_artifact_manifest.csv,4.0
table,05_background_knowledge_forbidden_edges.csv,outputs/tables/05_background_knowledge_forbidden_edges.csv,0.6
table,05_complete_case_pc_edge_classification.csv,outputs/tables/05_complete_case_pc_edge_classification.csv,0.3
table,05_complete_case_pc_edges.csv,outputs/tables/05_complete_case_pc_edges.csv,0.3
table,05_complete_case_pc_metrics.csv,outputs/tables/05_complete_case_pc_metrics.csv,0.3
table,05_discrete_chisq_pc_edge_classification.csv,outputs/tables/05_discrete_chisq_pc_edge_classification.csv,0.3
table,05_discrete_chisq_pc_edges.csv,outputs/tables/05_discrete_chisq_pc_edges.csv,0.3
table,05_discrete_chisq_pc_metrics.csv,outputs/tables/05_discrete_chisq_pc_metrics.csv,0.3
table,05_discrete_gsq_pc_edge_classification.csv,outputs/tables/05_discrete_gsq_pc_edge_classification.csv,0.3
table,05_discrete_gsq_pc_edges.csv,outputs/tables/05_discrete_gsq_pc_edges.csv,0.3
table,05_discrete_gsq_pc_metrics.csv,outputs/tables/05_discrete_gsq_pc_metrics.csv,0.3
table,05_discrete_test_comparison_metrics.csv,outputs/tables/05_discrete_test_comparison_metrics.csv,0.3
table,05_discrete_value_frequencies.csv,outputs/tables/05_discrete_value_frequencies.csv,0.2
table,05_discrete_variable_profile.csv,outputs/tables/05_discrete_variable_profile.csv,0.2
table,05_high_alpha_no_prior_edge_classification.csv,outputs/tables/05_high_alpha_no_prior_edge_classification.csv,0.4
table,05_high_alpha_no_prior_edges.csv,outputs/tables/05_high_alpha_no_prior_edges.csv,0.3
table,05_high_alpha_no_prior_metrics.csv,outputs/tables/05_high_alpha_no_prior_metrics.csv,0.3
table,05_high_alpha_with_prior_edge_classification.csv,outputs/tables/05_high_alpha_with_prior_edge_classification.csv,0.3
table,05_high_alpha_with_prior_edges.csv,outputs/tables/05_high_alpha_with_prior_edges.csv,0.3
table,05_high_alpha_with_prior_metrics.csv,outputs/tables/05_high_alpha_with_prior_metrics.csv,0.2
table,05_loaded_dataset_summary.csv,outputs/tables/05_loaded_dataset_summary.csv,0.1
table,05_missing_strategy_comparison_metrics.csv,outputs/tables/05_missing_strategy_comparison_metrics.csv,0.3
table,05_missing_value_overview.csv,outputs/tables/05_missing_value_overview.csv,0.1
table,05_missing_value_summary.csv,outputs/tables/05_missing_value_summary.csv,0.2
table,05_mvpc_edge_classification.csv,outputs/tables/05_mvpc_edge_classification.csv,0.3
table,05_mvpc_edges.csv,outputs/tables/05_mvpc_edges.csv,0.2
table,05_mvpc_metrics.csv,outputs/tables/05_mvpc_metrics.csv,0.2
table,05_ordinary_pc_nan_check.csv,outputs/tables/05_ordinary_pc_nan_check.csv,0.1
table,05_package_versions.csv,outputs/tables/05_package_versions.csv,0.1
table,05_pc_extensions_reporting_checklist.csv,outputs/tables/05_pc_extensions_reporting_checklist.csv,0.9
table,05_prior_knowledge_comparison_metrics.csv,outputs/tables/05_prior_knowledge_comparison_metrics.csv,0.3
table,05_scenario_summary_metrics.csv,outputs/tables/05_scenario_summary_metrics.csv,0.7
table,05_true_edges_used.csv,outputs/tables/05_true_edges_used.csv,0.4
table,05_variable_roles.csv,outputs/tables/05_variable_roles.csv,0.4
figure,05_discrete_chisq_pc_graph.png,outputs/figures/05_discrete_chisq_pc_graph.png,78.4
figure,05_discrete_test_comparison.png,outputs/figures/05_discrete_test_comparison.png,84.3
figure,05_discrete_value_frequencies.png,outputs/figures/05_discrete_value_frequencies.png,49.8
figure,05_high_alpha_no_prior_graph.png,outputs/figures/05_high_alpha_no_prior_graph.png,85.5
figure,05_high_alpha_with_prior_graph.png,outputs/figures/05_high_alpha_with_prior_graph.png,84.3
figure,05_missing_strategy_comparison.png,outputs/figures/05_missing_strategy_comparison.png,94.4
figure,05_missingness_by_variable.png,outputs/figures/05_missingness_by_variable.png,43.1
figure,05_mvpc_graph.png,outputs/figures/05_mvpc_graph.png,76.0
figure,05_prior_knowledge_metric_comparison.png,outputs/figures/05_prior_knowledge_metric_comparison.png,85.8
figure,05_true_dag.png,outputs/figures/05_true_dag.png,69.9
dataset,05_linear_gaussian_with_missing_values.csv,outputs/datasets/05_linear_gaussian_with_missing_values.csv,215.6
