dataset,variable,mean,std,skew,excess_kurtosis,jarque_bera_stat,jarque_bera_p_value
linear_nongaussian,need,0.03925478490752637,1.45867447487906,-0.04744242601278655,3.654896214253684,660.9973832267367,2.925781948491116e-144
linear_nongaussian,intent,-0.0022995331080365488,1.349851126712152,-0.279392976631254,3.152994964343593,506.9457474561651,8.281893238528652e-111
linear_nongaussian,match,0.07741828707076973,2.069741278659595,-0.01933088349263344,1.098499691869284,59.363206806296056,1.2865996471883433e-13
linear_nongaussian,engagement,0.09809572472000697,2.242670784522182,-0.11187811725194108,0.5645371851742107,18.020224045637168,0.00012216816962975173
linear_nongaussian,renewal,0.08190180897016058,2.1460248944434572,-0.03644684314828352,0.22663485219991575,2.7003423809724225,0.2591958849780804
linear_nongaussian,support,0.04128870945041258,1.9044830488085671,-0.13060328129333978,1.0599092052054653,58.58066386981816,1.9027006544324374e-13
linear_gaussian_control,need,0.07801064092941039,1.012734580145968,-0.02726069251166671,0.0004948749271012076,0.14927146197479166,0.9280814960917715
linear_gaussian_control,intent,0.03829699657437679,0.9930058923657178,-0.11837004645314066,0.08124977500639075,3.0834501684725732,0.21401159477503376
linear_gaussian_control,match,0.0697068058784632,1.464740300236422,0.023910595176968086,-0.010365291327716797,0.12578957406870223,0.9390422679137023
linear_gaussian_control,engagement,0.008275032385955753,1.5834774881359814,-0.013107714943499724,-0.06944761100990249,0.3092204574476073,0.8567490485827506
linear_gaussian_control,renewal,0.05310830866460046,1.611807107544791,0.0015551183125012747,-0.2424264510333396,3.036459555328517,0.21909939850920154
linear_gaussian_control,support,0.019351214088247613,1.2984270636532198,-0.015628190696644298,0.21805915070928839,2.2992300182697143,0.31675869511147314
