artifact_type,path,size_kb
figure,outputs/figures/04_alpha_sensitivity_metrics.png,69.1
figure,outputs/figures/04_baseline_pc_graph.png,66.0
figure,outputs/figures/04_high_alpha_pc_graph.png,84.1
figure,outputs/figures/04_linear_gaussian_correlation_heatmap.png,75.8
figure,outputs/figures/04_nonlinear_fisherz_pc_graph.png,77.0
figure,outputs/figures/04_sample_size_sensitivity_metrics.png,77.0
figure,outputs/figures/04_true_dag.png,63.6
table,outputs/tables/04_alpha_sensitivity_edges.csv,2.5
table,outputs/tables/04_alpha_sensitivity_metrics.csv,1.3
table,outputs/tables/04_artifact_manifest.csv,1.6
table,outputs/tables/04_baseline_builtin_metrics.csv,0.3
table,outputs/tables/04_baseline_graph_metrics.csv,0.2
table,outputs/tables/04_baseline_pc_edges.csv,0.4
table,outputs/tables/04_baseline_pc_graph_matrix.csv,0.2
table,outputs/tables/04_baseline_separating_sets.csv,0.3
table,outputs/tables/04_high_alpha_edges.csv,0.5
table,outputs/tables/04_linear_gaussian_data_audit.csv,0.7
table,outputs/tables/04_loaded_data_summary.csv,0.2
table,outputs/tables/04_nonlinear_fisherz_pc_edges.csv,0.5
table,outputs/tables/04_nonlinear_fisherz_pc_metrics.csv,0.3
table,outputs/tables/04_pc_assumptions_and_stages.csv,1.0
table,outputs/tables/04_pc_reporting_checklist.csv,0.8
table,outputs/tables/04_sample_size_sensitivity_edges.csv,2.3
table,outputs/tables/04_sample_size_sensitivity_metrics.csv,1.2
table,outputs/tables/04_scenario_comparison_metrics.csv,0.5
table,outputs/tables/04_stable_vs_original_edges.csv,2.4
table,outputs/tables/04_stable_vs_original_metrics.csv,1.3
table,outputs/tables/04_true_edges_used.csv,0.5
