artifact_type,path,size_kb
datasets,datasets/15_baseline_linear_laplace.csv,69.35
datasets,datasets/15_hidden_confounding.csv,80.75
datasets,datasets/15_linear_gaussian.csv,80.51
datasets,datasets/15_linear_laplace.csv,80.89
datasets,datasets/15_nonlinear_laplace.csv,80.93
figures,figures/15_assumption_stress_directed_f1.png,81.85
figures,figures/15_baseline_correlation.png,97.04
figures,figures/15_baseline_directlingam_graph.png,64.14
figures,figures/15_baseline_ges_bic_graph.png,63.58
figures,figures/15_baseline_method_metrics.png,42.96
figures,figures/15_baseline_pc_fisherz_graph.png,63.35
figures,figures/15_noise_sensitivity.png,47.06
figures,figures/15_sample_size_stability.png,73.45
figures,figures/15_true_benchmark_dag.png,57.2
figures,figures/15_tuning_sensitivity.png,59.04
tables,tables/15_assumption_stress_edges.csv,7.14
tables,tables/15_assumption_stress_metrics.csv,2.12
tables,tables/15_baseline_correlation.csv,0.68
tables,tables/15_baseline_data_audit.csv,0.57
tables,tables/15_baseline_method_edges.csv,1.65
tables,tables/15_baseline_method_metrics.csv,0.56
tables,tables/15_edge_signature_summary.csv,0.31
tables,tables/15_edge_signatures.csv,5.25
tables,tables/15_ges_lambda_sensitivity.csv,0.9
tables,tables/15_hidden_fci_edges.csv,0.55
tables,tables/15_lingam_threshold_edges.csv,2.29
tables,tables/15_lingam_threshold_sensitivity.csv,0.59
tables,tables/15_noise_sensitivity.csv,1.43
tables,tables/15_package_versions.csv,0.08
tables,tables/15_pc_alpha_sensitivity.csv,0.8
tables,tables/15_reporting_checklist.csv,1.22
tables,tables/15_runtime_summary.csv,0.22
tables,tables/15_sample_seed_edges.csv,18.02
tables,tables/15_sample_seed_metrics.csv,4.03
tables,tables/15_sample_seed_summary.csv,1.03
tables,tables/15_true_edges.csv,0.18
