artifact_type,path,size_kb
datasets,datasets/17_duplicate_measurement_data.csv,68.94
datasets,datasets/17_equivalence_chain_data.csv,86.34
datasets,datasets/17_equivalence_fork_data.csv,86.32
datasets,datasets/17_hidden_confounding_full_data.csv,51.77
datasets,datasets/17_hidden_confounding_observed_data.csv,34.51
datasets,datasets/17_selection_bias_full_data.csv,382.25
datasets,datasets/17_selection_bias_selected_data.csv,92.05
datasets,datasets/17_temporal_leakage_data.csv,69.03
datasets,datasets/17_weak_signal_example_data.csv,23.05
figures,figures/17_duplicate_measurement_truth.png,60.58
figures,figures/17_equivalence_chain.png,21.08
figures,figures/17_equivalence_fork.png,21.03
figures,figures/17_equivalence_shared_cpdag.png,41.35
figures,figures/17_hidden_confounding_truth.png,66.24
figures,figures/17_selection_bias_truth.png,58.48
figures,figures/17_temporal_leakage_truth.png,78.31
figures,figures/17_weak_signal_sensitivity.png,81.16
figures,figures/17_weak_signal_truth.png,52.39
reports,reports/17_causal_discovery_report_template.md,1.66
tables,tables/17_artifact_manifest.csv,2.39
tables,tables/17_duplicate_measurement_correlation_matrix.csv,0.32
tables,tables/17_duplicate_measurement_pair_audit.csv,0.33
tables,tables/17_duplicate_measurement_pc_edges.csv,0.18
tables,tables/17_duplicate_measurement_truth_edges.csv,0.18
tables,tables/17_equivalence_chain_edges.csv,0.05
tables,tables/17_equivalence_fork_edges.csv,0.05
tables,tables/17_equivalence_shared_cpdag_edges.csv,0.07
tables,tables/17_hidden_confounding_observed_edges.csv,0.19
tables,tables/17_hidden_confounding_risk_note.csv,0.31
tables,tables/17_hidden_confounding_truth_edges.csv,0.12
tables,tables/17_markov_equivalence_pc_edges.csv,0.21
tables,tables/17_markov_equivalence_stats.csv,0.15
tables,tables/17_measurement_timing_table.csv,0.21
tables,tables/17_package_versions.csv,0.08
tables,tables/17_pitfall_map.csv,1.42
tables,tables/17_reporting_checklist.csv,1.21
tables,tables/17_reporting_language_ladder.csv,0.84
tables,tables/17_selection_bias_correlation_summary.csv,0.12
tables,tables/17_selection_bias_pc_edges.csv,0.17
tables,tables/17_selection_bias_truth_edges.csv,0.15
tables,tables/17_temporal_leakage_pc_edges.csv,0.59
tables,tables/17_temporal_leakage_truth_edges.csv,0.23
tables,tables/17_weak_signal_sensitivity_runs.csv,4.46
tables,tables/17_weak_signal_sensitivity_summary.csv,1.14
tables,tables/17_weak_signal_truth_edges.csv,0.15
