run,source,edge_type,target,elapsed_seconds,coefficient,abs_coefficient
PC_unconstrained,baseline_need,-->,discovery_quality,0.00849776528775692,,
PC_unconstrained,catalog_fit,-->,discovery_quality,0.00849776528775692,,
PC_unconstrained,support_contact,-->,onboarding_friction,0.00849776528775692,,
PC_unconstrained,retention_value,-->,onboarding_friction,0.00849776528775692,,
PC_unconstrained,discovery_quality,-->,early_engagement,0.00849776528775692,,
PC_unconstrained,early_engagement,-->,retention_value,0.00849776528775692,,
PC_unconstrained,support_contact,-->,retention_value,0.00849776528775692,,
PC_tier_constrained,baseline_need,-->,discovery_quality,0.008631263859570026,,
PC_tier_constrained,catalog_fit,-->,discovery_quality,0.008631263859570026,,
PC_tier_constrained,onboarding_friction,-->,support_contact,0.008631263859570026,,
PC_tier_constrained,onboarding_friction,-->,retention_value,0.008631263859570026,,
PC_tier_constrained,discovery_quality,-->,early_engagement,0.008631263859570026,,
PC_tier_constrained,early_engagement,-->,retention_value,0.008631263859570026,,
PC_tier_constrained,support_contact,-->,retention_value,0.008631263859570026,,
GES_BIC,baseline_need,-->,discovery_quality,0.01882917806506157,,
GES_BIC,catalog_fit,-->,discovery_quality,0.01882917806506157,,
GES_BIC,onboarding_friction,-->,early_engagement,0.01882917806506157,,
GES_BIC,onboarding_friction,---,support_contact,0.01882917806506157,,
GES_BIC,discovery_quality,-->,early_engagement,0.01882917806506157,,
GES_BIC,discovery_quality,-->,retention_value,0.01882917806506157,,
GES_BIC,early_engagement,-->,retention_value,0.01882917806506157,,
GES_BIC,support_contact,-->,retention_value,0.01882917806506157,,
DirectLiNGAM,baseline_need,-->,discovery_quality,0.030896201729774475,0.5472001428890685,0.5472001428890685
DirectLiNGAM,catalog_fit,-->,discovery_quality,0.030896201729774475,0.5820046081808737,0.5820046081808737
DirectLiNGAM,onboarding_friction,-->,early_engagement,0.030896201729774475,-0.4181579827043412,0.4181579827043412
DirectLiNGAM,discovery_quality,-->,early_engagement,0.030896201729774475,0.732899859387694,0.732899859387694
DirectLiNGAM,onboarding_friction,-->,support_contact,0.030896201729774475,0.6622722912064408,0.6622722912064408
DirectLiNGAM,discovery_quality,-->,retention_value,0.030896201729774475,0.23848912693817362,0.23848912693817362
DirectLiNGAM,early_engagement,-->,retention_value,0.030896201729774475,0.5495880192216169,0.5495880192216169
DirectLiNGAM,support_contact,-->,retention_value,0.030896201729774475,-0.3596624533137209,0.3596624533137209
