method,source,lag,target,coefficient,abs_coefficient,edge_label
VAR_LiNGAM,match,0,engagement,0.21119951835570056,0.21119951835570056,match(t) -> engagement(t)
VAR_LiNGAM,engagement,0,renewal,0.15794871087921517,0.15794871087921517,engagement(t) -> renewal(t)
VAR_LiNGAM,engagement,0,support,-0.0910155716559066,0.0910155716559066,engagement(t) -> support(t)
VAR_LiNGAM,match,1,engagement,0.3132784039126842,0.3132784039126842,match(t-1) -> engagement(t)
VAR_LiNGAM,intent,1,match,0.3062894665726183,0.3062894665726183,intent(t-1) -> match(t)
VAR_LiNGAM,need,1,match,0.2721029950993756,0.2721029950993756,need(t-1) -> match(t)
VAR_LiNGAM,renewal,1,match,-0.07528519831067726,0.07528519831067726,renewal(t-1) -> match(t)
VAR_LiNGAM,engagement,1,renewal,0.3051298041056507,0.3051298041056507,engagement(t-1) -> renewal(t)
VAR_LiNGAM,support,1,renewal,-0.18621373573554947,0.18621373573554947,support(t-1) -> renewal(t)
VAR_LiNGAM,engagement,1,support,-0.3544570861862205,0.3544570861862205,engagement(t-1) -> support(t)
VAR_LiNGAM,need,2,engagement,0.12998752189572121,0.12998752189572121,need(t-2) -> engagement(t)
VAR_LiNGAM,renewal,2,need,-0.09122645967271296,0.09122645967271296,renewal(t-2) -> need(t)
VAR_LiNGAM,match,2,renewal,0.1424315929440485,0.1424315929440485,match(t-2) -> renewal(t)
