artifact_type,path,size_kb
dataset,outputs/datasets/11_nonlinear_dag_data.csv,34.68
dataset,outputs/datasets/11_pairwise_additive_noise.csv,11.37
dataset,outputs/datasets/11_pairwise_scenario_data.csv,135.39
table,outputs/tables/11_artifact_manifest.csv,1.49
table,outputs/tables/11_functional_model_concept_map.csv,0.97
table,outputs/tables/11_functional_model_reporting_checklist.csv,1.03
table,outputs/tables/11_package_versions.csv,0.13
table,outputs/tables/11_pairwise_anm_direction_result.csv,0.23
table,outputs/tables/11_pairwise_bootstrap_results.csv,2.28
table,outputs/tables/11_pairwise_bootstrap_summary.csv,0.12
table,outputs/tables/11_pairwise_candidate_classification.csv,0.43
table,outputs/tables/11_pairwise_candidate_edges.csv,0.74
table,outputs/tables/11_pairwise_candidate_metrics.csv,0.16
table,outputs/tables/11_pairwise_dag_screen.csv,2.48
table,outputs/tables/11_pairwise_data_summary.csv,0.18
table,outputs/tables/11_pairwise_residuals.csv,34.46
table,outputs/tables/11_pairwise_scenario_results.csv,0.84
table,outputs/tables/11_pnl_availability.csv,0.13
table,outputs/tables/11_pnl_guarded_demo_result.csv,0.14
table,outputs/tables/11_true_nonlinear_dag_edges.csv,0.18
figure,outputs/figures/11_pairwise_additive_noise_scatter.png,75.47
figure,outputs/figures/11_pairwise_anm_candidate_graph.png,76.99
figure,outputs/figures/11_pairwise_anm_residual_diagnostics.png,228.95
figure,outputs/figures/11_pairwise_bootstrap_p_values.png,40.23
figure,outputs/figures/11_pairwise_scenario_p_values.png,91.23
figure,outputs/figures/11_true_nonlinear_dag.png,66.6
