artifact_type,path,size_kb
dataset,outputs/datasets/02_discrete_mixed.csv,29.3
dataset,outputs/datasets/02_hidden_confounder_full.csv,335.4
dataset,outputs/datasets/02_hidden_confounder_observed.csv,287.5
dataset,outputs/datasets/02_linear_gaussian.csv,287.6
dataset,outputs/datasets/02_linear_nongaussian.csv,288.5
dataset,outputs/datasets/02_nonlinear_continuous.csv,288.3
dataset,outputs/datasets/02_nonstationary_continuous.csv,292.5
figure,outputs/figures/02_base_teaching_dag.png,64.6
figure,outputs/figures/02_hidden_confounder_true_dag.png,80.6
figure,outputs/figures/02_nonstationary_intent_match_shift.png,269.5
figure,outputs/figures/02_nonstationary_true_dag.png,80.4
figure,outputs/figures/02_renewal_distribution_comparison.png,146.7
figure,outputs/figures/02_scenario_correlation_heatmaps.png,131.7
table,outputs/tables/02_base_causallearn_edge_strings.csv,0.1
table,outputs/tables/02_base_true_adjacency_matrix.csv,0.2
table,outputs/tables/02_base_true_dag_edges.csv,0.4
table,outputs/tables/02_continuous_summary_statistics.csv,4.7
table,outputs/tables/02_dataset_registry.csv,1.4
table,outputs/tables/02_discrete_mixed_notes.csv,0.1
table,outputs/tables/02_discrete_mixed_true_edges.csv,0.4
table,outputs/tables/02_discrete_value_rates.csv,0.3
table,outputs/tables/02_edge_signal_checks.csv,2.7
table,outputs/tables/02_hidden_confounder_diagnostics.csv,0.4
table,outputs/tables/02_hidden_confounder_full_notes.csv,0.2
table,outputs/tables/02_hidden_confounder_full_true_edges.csv,0.6
table,outputs/tables/02_hidden_confounder_observed_notes.csv,0.2
table,outputs/tables/02_hidden_confounder_observed_true_edges.csv,0.4
table,outputs/tables/02_linear_gaussian_notes.csv,0.2
table,outputs/tables/02_linear_gaussian_true_edges.csv,0.4
table,outputs/tables/02_linear_nongaussian_notes.csv,0.2
table,outputs/tables/02_linear_nongaussian_true_edges.csv,0.4
table,outputs/tables/02_nonlinear_continuous_notes.csv,0.2
table,outputs/tables/02_nonlinear_continuous_true_edges.csv,0.4
table,outputs/tables/02_nonstationary_continuous_notes.csv,0.2
table,outputs/tables/02_nonstationary_continuous_true_edges.csv,0.7
table,outputs/tables/02_nonstationary_environment_summary.csv,0.4
table,outputs/tables/02_nonstationary_true_edges.csv,0.7
table,outputs/tables/02_saved_dataset_files.csv,1.3
table,outputs/tables/02_scenario_catalog.csv,2.4
table,outputs/tables/02_shape_and_missingness_checks.csv,0.6
table,outputs/tables/02_variable_dictionary.csv,0.9
