artifact_type,file_name,relative_path,size_kb
table,07_artifact_manifest.csv,outputs/tables/07_artifact_manifest.csv,3.9
table,07_cdnod_background_forbidden_edges.csv,outputs/tables/07_cdnod_background_forbidden_edges.csv,0.9
table,07_cdnod_background_tiers.csv,outputs/tables/07_cdnod_background_tiers.csv,0.1
table,07_cdnod_no_background_edge_classification.csv,outputs/tables/07_cdnod_no_background_edge_classification.csv,0.4
table,07_cdnod_no_background_edges.csv,outputs/tables/07_cdnod_no_background_edges.csv,0.4
table,07_cdnod_no_background_environment_edges.csv,outputs/tables/07_cdnod_no_background_environment_edges.csv,0.1
table,07_cdnod_no_background_environment_summary.csv,outputs/tables/07_cdnod_no_background_environment_summary.csv,0.2
table,07_cdnod_no_background_messages.csv,outputs/tables/07_cdnod_no_background_messages.csv,3.0
table,07_cdnod_no_background_metrics.csv,outputs/tables/07_cdnod_no_background_metrics.csv,0.3
table,07_cdnod_reporting_checklist.csv,outputs/tables/07_cdnod_reporting_checklist.csv,1.0
table,07_cdnod_with_background_edge_classification.csv,outputs/tables/07_cdnod_with_background_edge_classification.csv,0.4
table,07_cdnod_with_background_edges.csv,outputs/tables/07_cdnod_with_background_edges.csv,0.4
table,07_cdnod_with_background_messages.csv,outputs/tables/07_cdnod_with_background_messages.csv,3.1
table,07_cdnod_with_background_metrics.csv,outputs/tables/07_cdnod_with_background_metrics.csv,0.3
table,07_environment_mean_shifts_long.csv,outputs/tables/07_environment_mean_shifts_long.csv,0.6
table,07_environment_summary.csv,outputs/tables/07_environment_summary.csv,0.5
table,07_environment_target_sensitivity.csv,outputs/tables/07_environment_target_sensitivity.csv,0.9
table,07_field_guide.csv,outputs/tables/07_field_guide.csv,0.6
table,07_intent_match_mechanism_shift.csv,outputs/tables/07_intent_match_mechanism_shift.csv,0.3
table,07_loaded_dataset_summary.csv,outputs/tables/07_loaded_dataset_summary.csv,0.1
table,07_main_method_comparison_metrics.csv,outputs/tables/07_main_method_comparison_metrics.csv,0.5
table,07_method_concept_map.csv,outputs/tables/07_method_concept_map.csv,0.6
table,07_package_versions.csv,outputs/tables/07_package_versions.csv,0.1
table,07_per_environment_pc_edges.csv,outputs/tables/07_per_environment_pc_edges.csv,0.8
table,07_per_environment_pc_metrics.csv,outputs/tables/07_per_environment_pc_metrics.csv,0.4
table,07_pooled_pc_edge_classification.csv,outputs/tables/07_pooled_pc_edge_classification.csv,0.4
table,07_pooled_pc_edges.csv,outputs/tables/07_pooled_pc_edges.csv,0.4
table,07_pooled_pc_metrics.csv,outputs/tables/07_pooled_pc_metrics.csv,0.3
table,07_structured_cdnod_alpha_edges.csv,outputs/tables/07_structured_cdnod_alpha_edges.csv,2.6
table,07_structured_cdnod_alpha_messages.csv,outputs/tables/07_structured_cdnod_alpha_messages.csv,19.4
table,07_structured_cdnod_alpha_metrics.csv,outputs/tables/07_structured_cdnod_alpha_metrics.csv,0.7
table,07_true_environment_shift_edges.csv,outputs/tables/07_true_environment_shift_edges.csv,0.3
table,07_true_ordinary_edges.csv,outputs/tables/07_true_ordinary_edges.csv,0.4
figure,07_cdnod_no_background_graph.png,outputs/figures/07_cdnod_no_background_graph.png,75.4
figure,07_cdnod_with_background_graph.png,outputs/figures/07_cdnod_with_background_graph.png,79.6
figure,07_environment_mean_shifts.png,outputs/figures/07_environment_mean_shifts.png,113.4
figure,07_intent_match_shift.png,outputs/figures/07_intent_match_shift.png,314.5
figure,07_main_method_comparison.png,outputs/figures/07_main_method_comparison.png,94.3
figure,07_per_environment_pc_variation.png,outputs/figures/07_per_environment_pc_variation.png,84.5
figure,07_pooled_pc_graph.png,outputs/figures/07_pooled_pc_graph.png,72.1
figure,07_structured_cdnod_alpha_sensitivity.png,outputs/figures/07_structured_cdnod_alpha_sensitivity.png,58.7
figure,07_true_nonstationary_graph.png,outputs/figures/07_true_nonstationary_graph.png,77.7
