run,source,edge_type,target,method,bootstrap_id,elapsed_seconds,coefficient,abs_coefficient
PC_tier_constrained,baseline_need,-->,discovery_quality,PC_tier_constrained,0,0.014998375903815031,,
PC_tier_constrained,catalog_fit,-->,discovery_quality,PC_tier_constrained,0,0.014998375903815031,,
PC_tier_constrained,onboarding_friction,-->,early_engagement,PC_tier_constrained,0,0.014998375903815031,,
PC_tier_constrained,onboarding_friction,-->,support_contact,PC_tier_constrained,0,0.014998375903815031,,
PC_tier_constrained,discovery_quality,-->,early_engagement,PC_tier_constrained,0,0.014998375903815031,,
PC_tier_constrained,early_engagement,-->,retention_value,PC_tier_constrained,0,0.014998375903815031,,
PC_tier_constrained,support_contact,-->,retention_value,PC_tier_constrained,0,0.014998375903815031,,
GES_BIC,baseline_need,-->,discovery_quality,GES_BIC,0,0.015427612699568272,,
GES_BIC,catalog_fit,-->,discovery_quality,GES_BIC,0,0.015427612699568272,,
GES_BIC,onboarding_friction,-->,early_engagement,GES_BIC,0,0.015427612699568272,,
GES_BIC,onboarding_friction,---,support_contact,GES_BIC,0,0.015427612699568272,,
GES_BIC,discovery_quality,-->,early_engagement,GES_BIC,0,0.015427612699568272,,
GES_BIC,discovery_quality,-->,retention_value,GES_BIC,0,0.015427612699568272,,
GES_BIC,early_engagement,-->,retention_value,GES_BIC,0,0.015427612699568272,,
GES_BIC,support_contact,-->,retention_value,GES_BIC,0,0.015427612699568272,,
DirectLiNGAM,baseline_need,-->,discovery_quality,DirectLiNGAM,0,0.028633468318730593,0.5158935607801711,0.5158935607801711
DirectLiNGAM,catalog_fit,-->,discovery_quality,DirectLiNGAM,0,0.028633468318730593,0.5892391698010958,0.5892391698010958
DirectLiNGAM,onboarding_friction,-->,early_engagement,DirectLiNGAM,0,0.028633468318730593,-0.43970230997405607,0.43970230997405607
DirectLiNGAM,discovery_quality,-->,early_engagement,DirectLiNGAM,0,0.028633468318730593,0.7111919687807354,0.7111919687807354
DirectLiNGAM,onboarding_friction,-->,support_contact,DirectLiNGAM,0,0.028633468318730593,0.6398381945521713,0.6398381945521713
DirectLiNGAM,discovery_quality,-->,retention_value,DirectLiNGAM,0,0.028633468318730593,0.26207891101673075,0.26207891101673075
DirectLiNGAM,early_engagement,-->,retention_value,DirectLiNGAM,0,0.028633468318730593,0.5198565914998773,0.5198565914998773
