artifact_type,file_name,relative_path,size_kb
table,08_baseline_ges_edge_classification.csv,outputs/tables/08_baseline_ges_edge_classification.csv,0.3
table,08_baseline_ges_edges.csv,outputs/tables/08_baseline_ges_edges.csv,0.3
table,08_baseline_ges_messages.csv,outputs/tables/08_baseline_ges_messages.csv,0.0
table,08_baseline_ges_metrics.csv,outputs/tables/08_baseline_ges_metrics.csv,0.2
table,08_baseline_ges_score_summary.csv,outputs/tables/08_baseline_ges_score_summary.csv,0.1
table,08_baseline_ges_update_history.csv,outputs/tables/08_baseline_ges_update_history.csv,0.5
table,08_bdeu_ges_edge_classification.csv,outputs/tables/08_bdeu_ges_edge_classification.csv,0.4
table,08_bdeu_ges_edges.csv,outputs/tables/08_bdeu_ges_edges.csv,0.3
table,08_bdeu_ges_metrics.csv,outputs/tables/08_bdeu_ges_metrics.csv,0.2
table,08_bdeu_ges_score_summary.csv,outputs/tables/08_bdeu_ges_score_summary.csv,0.1
table,08_bic_lambda_sensitivity_edges.csv,outputs/tables/08_bic_lambda_sensitivity_edges.csv,1.1
table,08_bic_lambda_sensitivity_metrics.csv,outputs/tables/08_bic_lambda_sensitivity_metrics.csv,0.4
table,08_bic_lambda_sensitivity_scores.csv,outputs/tables/08_bic_lambda_sensitivity_scores.csv,0.2
table,08_ges_concept_map.csv,outputs/tables/08_ges_concept_map.csv,0.8
table,08_ges_reporting_checklist.csv,outputs/tables/08_ges_reporting_checklist.csv,0.9
table,08_ges_vs_pc_metrics.csv,outputs/tables/08_ges_vs_pc_metrics.csv,0.3
table,08_linear_gaussian_correlation_matrix.csv,outputs/tables/08_linear_gaussian_correlation_matrix.csv,0.7
table,08_linear_gaussian_data_audit.csv,outputs/tables/08_linear_gaussian_data_audit.csv,0.6
table,08_loaded_dataset_summary.csv,outputs/tables/08_loaded_dataset_summary.csv,0.2
table,08_mechanism_stress_test_edges.csv,outputs/tables/08_mechanism_stress_test_edges.csv,1.4
table,08_mechanism_stress_test_metrics.csv,outputs/tables/08_mechanism_stress_test_metrics.csv,0.5
table,08_mechanism_stress_test_scores.csv,outputs/tables/08_mechanism_stress_test_scores.csv,0.2
table,08_package_versions.csv,outputs/tables/08_package_versions.csv,0.1
table,08_pc_baseline_edge_classification.csv,outputs/tables/08_pc_baseline_edge_classification.csv,0.3
table,08_pc_baseline_edges.csv,outputs/tables/08_pc_baseline_edges.csv,0.3
table,08_pc_baseline_metrics.csv,outputs/tables/08_pc_baseline_metrics.csv,0.3
table,08_sample_size_sensitivity_edges.csv,outputs/tables/08_sample_size_sensitivity_edges.csv,1.2
table,08_sample_size_sensitivity_metrics.csv,outputs/tables/08_sample_size_sensitivity_metrics.csv,0.4
table,08_sample_size_sensitivity_scores.csv,outputs/tables/08_sample_size_sensitivity_scores.csv,0.3
table,08_scenario_summary_metrics.csv,outputs/tables/08_scenario_summary_metrics.csv,1.5
table,08_score_function_guide.csv,outputs/tables/08_score_function_guide.csv,0.7
figure,08_baseline_ges_graph.png,outputs/figures/08_baseline_ges_graph.png,66.2
figure,08_bdeu_ges_graph.png,outputs/figures/08_bdeu_ges_graph.png,66.2
figure,08_bic_lambda_sensitivity.png,outputs/figures/08_bic_lambda_sensitivity.png,83.6
figure,08_ges_vs_pc_metrics.png,outputs/figures/08_ges_vs_pc_metrics.png,87.3
figure,08_linear_gaussian_correlation_heatmap.png,outputs/figures/08_linear_gaussian_correlation_heatmap.png,93.8
figure,08_mechanism_stress_test.png,outputs/figures/08_mechanism_stress_test.png,78.9
figure,08_nonlinear_bic_ges_graph.png,outputs/figures/08_nonlinear_bic_ges_graph.png,77.1
figure,08_sample_size_sensitivity.png,outputs/figures/08_sample_size_sensitivity.png,71.5
figure,08_true_dag.png,outputs/figures/08_true_dag.png,67.8
