artifact_type,path,size_kb
figure,outputs/figures/03_conditioning_set_progression.png,136.6
figure,outputs/figures/03_discrete_chisq_gsq_comparison.png,61.8
figure,outputs/figures/03_fisherz_case_decisions.png,87.3
figure,outputs/figures/03_fisherz_marginal_p_heatmap.png,77.7
figure,outputs/figures/03_nonlinear_pair_demo.png,85.5
figure,outputs/figures/03_sample_size_sensitivity.png,82.2
table,outputs/tables/03_alpha_sensitivity_decisions.csv,1.6
table,outputs/tables/03_artifact_manifest.csv,1.2
table,outputs/tables/03_base_true_edges_used.csv,0.4
table,outputs/tables/03_ci_reporting_guide.csv,0.7
table,outputs/tables/03_ci_test_selection_guide.csv,1.1
table,outputs/tables/03_conditioning_set_counts.csv,0.4
table,outputs/tables/03_conditioning_set_progression.csv,0.6
table,outputs/tables/03_discrete_chisq_gsq_results.csv,1.3
table,outputs/tables/03_fisherz_linear_gaussian_cases.csv,1.0
table,outputs/tables/03_fisherz_marginal_p_matrix.csv,0.3
table,outputs/tables/03_loaded_dataset_summary.csv,0.3
table,outputs/tables/03_missing_value_fisherz_comparison.csv,0.7
table,outputs/tables/03_missing_value_summary.csv,0.2
table,outputs/tables/03_nonlinear_dataset_test_comparison.csv,0.5
table,outputs/tables/03_nonlinear_fisherz_vs_kci.csv,0.2
table,outputs/tables/03_sample_size_sensitivity.csv,1.2
