artifact_type,path,size_kb
table,outputs/tables/12_boss_grasp_edges.csv,0.37
table,outputs/tables/12_boss_grasp_metrics.csv,0.35
table,outputs/tables/12_exact_search_stats.csv,0.08
table,outputs/tables/12_fixed_order_edges.csv,0.55
table,outputs/tables/12_fixed_order_metrics.csv,0.28
table,outputs/tables/12_fixed_order_parent_sets.csv,1.72
table,outputs/tables/12_fixed_order_score_summary.csv,0.12
table,outputs/tables/12_grasp_depth_metrics.csv,1.7
table,outputs/tables/12_grasp_depth_summary.csv,0.25
table,outputs/tables/12_loaded_dataset_summary.csv,0.15
table,outputs/tables/12_method_comparison_edges.csv,0.74
table,outputs/tables/12_method_comparison_metrics.csv,0.5
table,outputs/tables/12_package_versions.csv,0.09
table,outputs/tables/12_permutation_reporting_checklist.csv,1.03
table,outputs/tables/12_runtime_scaling_sketch.csv,0.33
table,outputs/tables/12_sample_size_metrics.csv,0.9
table,outputs/tables/12_seed_stability_edges.csv,5.16
table,outputs/tables/12_seed_stability_metrics.csv,4.17
table,outputs/tables/12_seed_stability_summary.csv,0.21
figure,outputs/figures/12_boss_graph.png,66.89
figure,outputs/figures/12_grasp_depth_sensitivity.png,69.43
figure,outputs/figures/12_method_comparison_metrics.png,94.79
figure,outputs/figures/12_runtime_scaling_sketch.png,88.72
figure,outputs/figures/12_sample_size_sensitivity.png,77.8
figure,outputs/figures/12_seed_stability.png,41.85
figure,outputs/figures/12_true_dag.png,67.02
