artifact_type,path,size_kb
datasets,datasets/16_case_study_observed_data.csv,121.34
datasets,datasets/16_hidden_context_stress_data.csv,121.27
figures,figures/16_candidate_method_metrics.png,48.26
figures,figures/16_correlation_matrix.png,149.22
figures,figures/16_directlingam_candidate_graph.png,90.34
figures,figures/16_edge_stability.png,148.35
figures,figures/16_final_candidate_graph.png,93.92
figures,figures/16_ges_bic_candidate_graph.png,89.08
figures,figures/16_marginal_distributions.png,166.8
figures,figures/16_pc_tier_constrained_candidate_graph.png,91.63
figures,figures/16_true_case_study_graph.png,92.23
figures,figures/16_tuning_sensitivity.png,55.68
tables,tables/16_bootstrap_edges.csv,48.23
tables,tables/16_bootstrap_metrics.csv,8.08
tables,tables/16_candidate_method_edges.csv,2.53
tables,tables/16_candidate_method_metrics.csv,0.9
tables,tables/16_correlation_matrix.csv,1.07
tables,tables/16_data_audit.csv,0.76
tables,tables/16_edge_consensus.csv,1.89
tables,tables/16_edge_stability.csv,1.29
tables,tables/16_fci_edges.csv,0.52
tables,tables/16_final_candidate_edges.csv,0.78
tables,tables/16_final_candidate_metrics.csv,0.29
tables,tables/16_hidden_stress_edges.csv,2.61
tables,tables/16_hidden_stress_metrics.csv,0.73
tables,tables/16_limitations.csv,0.91
tables,tables/16_package_versions.csv,0.08
tables,tables/16_report_edge_summary.csv,0.97
tables,tables/16_timing_constraints.csv,0.27
tables,tables/16_true_edges.csv,0.37
tables,tables/16_tuning_sensitivity.csv,2.32
tables,tables/16_variable_dictionary.csv,0.67
tables,tables/16_workflow_checklist.csv,0.63
