propensity_bucket,rows,treatment_rate,true_cate_mean,baseline_need_mean
"(-0.001, 0.1]",167,0.0718562874251497,0.10403988815518161,-1.6629274640432476
"(0.1, 0.2]",357,0.1568627450980392,0.1620201576479264,-1.0558306896235394
"(0.2, 0.3]",373,0.24664879356568364,0.21967342033541185,-0.6585373366224675
"(0.3, 0.4]",400,0.3275,0.2521458715529274,-0.415415737291356
"(0.4, 0.5]",376,0.44680851063829785,0.25723691483121697,-0.12862505408463001
"(0.5, 0.6]",398,0.5201005025125628,0.2981125084754911,0.16698342509515385
"(0.6, 0.7]",351,0.6894586894586895,0.3809244546114563,0.40297781676337935
"(0.7, 0.8]",329,0.7750759878419453,0.3789226579250851,0.7142821683311914
"(0.8, 0.9]",303,0.858085808580858,0.4839280052579644,1.1202349719388272
"(0.9, 1.0]",146,0.9315068493150684,0.5330768108304993,1.5689309604772665
