covariate,treated_mean,control_mean,standardized_difference
baseline_need,0.43005130429596333,-0.41629959452682286,0.9205378459526067
high_need_segment,0.464963503649635,0.13987730061349693,0.7564854222662953
friction_score,0.26368676672699815,-0.2668529815746719,0.5384477408078587
prior_engagement,0.22952823041950776,-0.14121532472151643,0.376779313963515
content_affinity,0.1807559898707896,-0.14590207717426834,0.32209990533094757
traffic_intensity,0.11863200622252203,-0.07987385531061292,0.20113337535454928
account_tenure,-0.09544033902606823,0.09898368333248535,-0.19089977368498748
trust_score,-0.08463438507766573,0.09767010634919715,-0.18300563091812708
region_risk,0.35912408759124087,0.3196319018404908,0.08344964918189833
seasonality_index,0.008168947167157298,-0.05755125517818653,0.06744646145549671
price_sensitivity,0.02194536595491498,-0.044584703392200956,0.06717108549693294
recency_gap,0.052096304248235824,-0.012938327964949608,0.06418414656630184
device_stability,0.0029490242122333812,0.01626428530359578,-0.013400089587198613
