covariate,treated_mean,control_mean,standardized_difference
baseline_need,0.5806552148870143,-0.34501835998881897,1.0164137595965361
high_need_segment,0.5245143385753932,0.16658801321378008,0.8120733521265151
friction_score,0.3938249405909471,-0.25284547063999935,0.6457068610322314
content_affinity,0.22319631742663637,-0.10065025269238932,0.3131341166008623
prior_engagement,0.21834648310213192,-0.0651985281715101,0.2818984695334962
account_tenure,-0.15183565405607277,0.07282489755884164,-0.22345873496273402
trust_score,-0.1003596335495783,0.08360346313811931,-0.18463017199575327
seasonality_index,0.06643862854195043,-0.06322434748626637,0.1315340843649743
region_risk,0.36077705827937095,0.3010854176498348,0.1270663707163414
traffic_intensity,0.07419794804323733,-0.04606021267630419,0.12163224279496318
price_sensitivity,0.03926659226617818,-0.03198411717073946,0.07184554975508363
recency_gap,0.04954937965675463,-0.0008338733351610596,0.051064332279511265
device_stability,0.022218812991823548,0.03215752252574354,-0.010199104412838667
