term,is_true_driver,true_cate_coefficient,LinearDML,SparseLinearDML,abs_linear,abs_sparse,SparseLinearDML_practically_selected
high_need_segment,True,0.24,0.4970447534162184,0.48554551908508803,0.4970447534162184,0.48554551908508803,True
friction_score,True,-0.24,-0.25685396621239015,-0.25339408378062905,0.25685396621239015,0.25339408378062905,True
price_sensitivity,True,-0.18,-0.1616035829743547,-0.17006725586479365,0.1616035829743547,0.17006725586479365,True
content_affinity,True,0.16,0.17081801043471434,0.16839922641688915,0.17081801043471434,0.16839922641688915,True
prior_engagement,True,0.22,0.10067567311407077,0.0984617492112365,0.10067567311407077,0.0984617492112365,True
noise_modifier_01,False,0.0,-0.05786582587588353,-0.06515157295171474,0.05786582587588353,0.06515157295171474,True
baseline_need,True,0.3,0.0668318684878482,0.06453485505719253,0.0668318684878482,0.06453485505719253,True
recency_gap,False,0.0,-0.042965650440400426,-0.03905748722050953,0.042965650440400426,0.03905748722050953,True
noise_modifier_07,False,0.0,0.033736416982018715,0.03823543458820571,0.033736416982018715,0.03823543458820571,True
trust_score,False,0.0,0.024824475283052847,0.035191199246627586,0.024824475283052847,0.035191199246627586,True
noise_modifier_10,False,0.0,-0.04386826597895497,-0.032660674901359814,0.04386826597895497,0.032660674901359814,True
noise_modifier_03,False,0.0,0.04894233135603294,0.02803777502284538,0.04894233135603294,0.02803777502284538,False
noise_modifier_02,False,0.0,0.021228919215595873,0.0273005855732715,0.021228919215595873,0.0273005855732715,False
region_risk,True,-0.12,-0.025804284937287685,-0.025420295317132725,0.025804284937287685,0.025420295317132725,False
noise_modifier_05,False,0.0,-0.028121483925946038,-0.022230171830149865,0.028121483925946038,0.022230171830149865,False
noise_modifier_11,False,0.0,0.015503362088764109,0.02068393580740442,0.015503362088764109,0.02068393580740442,False
noise_modifier_09,False,0.0,0.022266669081848472,0.017066794336232892,0.022266669081848472,0.017066794336232892,False
noise_modifier_12,False,0.0,-0.012016176616056877,-0.01416129594071132,0.012016176616056877,0.01416129594071132,False
noise_modifier_04,False,0.0,-0.005917689992295422,0.004922155545069992,0.005917689992295422,0.004922155545069992,False
noise_modifier_08,False,0.0,-0.0031415511149869915,-0.002436961637836556,0.0031415511149869915,0.002436961637836556,False
noise_modifier_06,False,0.0,-0.0009219260269303038,0.0009492923133934583,0.0009219260269303038,0.0009492923133934583,False
