covariate,treated_mean,control_mean,standardized_difference
baseline_need,0.36512964788284974,-0.4103706513540795,0.8334973597964594
high_need_segment,0.43141025641025643,0.15060975609756097,0.6498189917227049
friction_score,0.24381906401414102,-0.29903203132280787,0.5359470148726345
prior_engagement,0.1962934154475707,-0.12703711040258267,0.32545511927607496
content_affinity,0.18856149688599227,-0.11869841822097878,0.30579514308317485
account_tenure,-0.1544547917369712,0.14093359207454015,-0.29533198562278
seasonality_index,0.07625723472938335,-0.11043507380938294,0.19044672527852882
trust_score,-0.08662261732191322,0.06695373474215022,-0.1548268921049243
noise_modifier_01,0.06140146384695925,-0.06901212952902773,0.13306843672825291
region_risk,0.3474358974358974,0.29634146341463413,0.10949253576690204
noise_modifier_12,-0.061674922900316155,0.02557910963947356,-0.08702522587186226
price_sensitivity,0.03413805965167677,-0.03963159020279453,0.07369814043010962
noise_modifier_02,-0.04514814324447998,0.012029329982190877,-0.05669996534451203
noise_modifier_06,-0.03855067983069932,0.0033210942440022474,-0.04175439083328876
noise_modifier_04,-0.008510667353323786,0.01777326125364825,-0.025810342839461462
noise_modifier_07,-3.231098510576968e-05,0.024035343447249745,-0.024080962104194192
noise_modifier_08,0.0132532300511083,0.034091219065283,-0.02085437252044954
recency_gap,0.02634753040427432,0.00652058193968142,0.020147404791336882
noise_modifier_05,0.005337419334506633,-0.012941032275783583,0.018112137609816285
noise_modifier_09,-0.003989870650980921,0.010300241372139514,-0.014252371732765487
noise_modifier_10,-0.007909864496129881,0.0017169517091578824,-0.00973205823031947
device_stability,0.033599051274667814,0.024235248224225635,0.009601780930559274
noise_modifier_11,0.023215975383031672,0.025027286010928042,-0.0017967825571763385
noise_modifier_03,-0.01771708638312736,-0.019068660452560525,0.0013817316911663698
