propensity_bucket,rows,treatment_rate,true_cate_mean
"(-0.001, 0.1]",119,0.09243697478991597,0.11981262664911656
"(0.1, 0.2]",315,0.13015873015873017,0.23035087736896992
"(0.2, 0.3]",372,0.30376344086021506,0.27340651792968
"(0.3, 0.4]",401,0.32917705735660846,0.3805949015118878
"(0.4, 0.5]",373,0.4343163538873995,0.43557092262457975
"(0.5, 0.6]",348,0.5660919540229885,0.542798515036405
"(0.6, 0.7]",323,0.631578947368421,0.6212332886277904
"(0.7, 0.8]",336,0.7767857142857143,0.7090532909086534
"(0.8, 0.9]",303,0.8547854785478548,0.8455711734742316
"(0.9, 1.0]",110,0.9272727272727272,0.9949566670989295
