case,test_index,feature,feature_value,shap_contribution,surrogate_cate,forest_cate,true_cate
low_estimated_cate,1039,friction_score,2.204524421516456,-0.29634819903214465,-0.2823788021741057,-0.39068191351933335,-0.8493209792851055
low_estimated_cate,1039,content_affinity,-1.2923598526300557,-0.20123528371195826,-0.2823788021741057,-0.39068191351933335,-0.8493209792851055
low_estimated_cate,1039,prior_engagement,-2.1394302390862414,-0.08160261825267749,-0.2823788021741057,-0.39068191351933335,-0.8493209792851055
low_estimated_cate,1039,baseline_need,0.4432768946099571,-0.030111412300897384,-0.2823788021741057,-0.39068191351933335,-0.8493209792851055
low_estimated_cate,1039,price_sensitivity,1.1491030048501065,-0.017932439267198574,-0.2823788021741057,-0.39068191351933335,-0.8493209792851055
median_estimated_cate,1067,content_affinity,-0.5945545569208532,-0.11586985148622568,0.30045691579732725,0.33389289514082504,0.3637407528945258
median_estimated_cate,1067,prior_engagement,0.997276014674873,0.08801881804697709,0.30045691579732725,0.33389289514082504,0.3637407528945258
median_estimated_cate,1067,baseline_need,0.25385183791912785,-0.02259196401796015,0.30045691579732725,0.33389289514082504,0.3637407528945258
median_estimated_cate,1067,friction_score,0.2755728964637868,0.022316141213285557,0.30045691579732725,0.33389289514082504,0.3637407528945258
median_estimated_cate,1067,price_sensitivity,0.40706470977439946,-0.015212699871635446,0.30045691579732725,0.33389289514082504,0.3637407528945258
high_estimated_cate,1049,content_affinity,1.2297108686135159,0.19334176368294834,0.8622659505837882,0.9843797016291328,1.3367634246535223
high_estimated_cate,1049,baseline_need,1.4047424499750696,0.18106913256577747,0.8622659505837882,0.9843797016291328,1.3367634246535223
high_estimated_cate,1049,friction_score,0.12369891835532118,0.07666293060645092,0.8622659505837882,0.9843797016291328,1.3367634246535223
high_estimated_cate,1049,prior_engagement,1.8902962637024934,0.05329812472510985,0.8622659505837882,0.9843797016291328,1.3367634246535223
high_estimated_cate,1049,price_sensitivity,-1.3492735228851684,0.007114491473613405,0.8622659505837882,0.9843797016291328,1.3367634246535223
