decile,rows,mean_estimated_cate,mean_true_cate,estimator
1,140,-0.6028503665632612,-0.2916546879553937,LinearDML
2,140,-0.23790285832973426,-0.23270593627982197,LinearDML
3,140,-0.1055760341346203,-0.16767116004473664,LinearDML
4,140,0.019308839508349263,-0.06974206897357693,LinearDML
5,140,0.16308791059852845,0.038261832231404155,LinearDML
6,140,0.3047450062975384,0.25206810132084995,LinearDML
7,140,0.4519467428660917,0.37914224475892044,LinearDML
8,140,0.6052818495401358,0.4819795502148709,LinearDML
9,140,0.86335667830399,0.6475738202126662,LinearDML
10,140,1.4454452958474977,0.9489890919160929,LinearDML
1,140,-0.06343612147200359,-0.464933305900276,CausalForestDML
2,140,0.027808704690554166,-0.32934998291003603,CausalForestDML
3,140,0.09433276624599977,-0.17983845890154398,CausalForestDML
4,140,0.17000725816674134,-0.043793685021135266,CausalForestDML
5,140,0.2440137936130661,0.08970714366749909,CausalForestDML
6,140,0.3128342073605214,0.2085639477796595,CausalForestDML
7,140,0.3891693630464184,0.35375909626804597,CausalForestDML
8,140,0.4972280113453406,0.5610180932088001,CausalForestDML
9,140,0.6131584523818269,0.6977984981811319,CausalForestDML
10,140,0.7319728409699566,1.09330944102913,CausalForestDML
1,140,-0.6600198258638719,-0.39311461861266467,DRLearner
2,140,-0.2570099224273618,-0.21097651596826839,DRLearner
3,140,-0.1073187924392796,-0.14368963612428678,DRLearner
4,140,0.01731033181375765,-0.053723148238529424,DRLearner
5,140,0.1268923758501357,0.04373865368656771,DRLearner
6,140,0.23687153809338488,0.19851403703528842,DRLearner
7,140,0.37804729588138836,0.2941964018106718,DRLearner
8,140,0.5682472964769433,0.5374890103702895,DRLearner
9,140,0.8139747257999675,0.7485189662947195,DRLearner
10,140,1.1553077873601152,0.9652876371474877,DRLearner
1,289,-0.008573686331263007,-0.3566519388663676,SLearner
2,131,0.0066079223422500916,-0.19392381069482348,SLearner
3,140,0.027490683528589497,-0.029804602196786847,SLearner
4,140,0.06987579129527892,0.0759551508831403,SLearner
5,140,0.1417709886169102,0.1862656415726227,SLearner
6,140,0.2876899846153285,0.3402269078269586,SLearner
7,140,0.5518281291615528,0.5463883889791389,SLearner
8,140,0.837347286986181,0.744720681007265,SLearner
9,140,1.1792683555780417,1.0401774017103802,SLearner
1,140,-0.39912615114977723,-0.19386930879041006,TLearner
2,140,-0.1543814780800611,-0.16367302502496095,TLearner
3,140,0.03195945209511538,-0.08542389260330976,TLearner
4,140,0.16795684679229322,-0.04847447767043656,TLearner
5,140,0.2974751335549133,-0.05255551184869188,TLearner
6,140,0.44929398673502635,0.06893022071191496,TLearner
7,140,0.6029829237861816,0.29016980619869714,TLearner
8,140,0.7864978005402642,0.47785056289549693,TLearner
9,140,0.9914019017972773,0.7210888180194485,TLearner
10,140,1.315366595997812,0.972197595513527,TLearner
1,140,-0.4199919164890075,-0.4361180791457888,XLearner
2,140,-0.17907047645661173,-0.25989842437449767,XLearner
3,140,-0.06122832938746693,-0.16112099336428887,XLearner
4,140,0.04465111546909777,-0.02126094916462532,XLearner
5,140,0.14263439925706115,0.050775934791263334,XLearner
6,140,0.2744523974745343,0.15825945454596443,XLearner
7,140,0.45934913611534045,0.36791698025579667,XLearner
8,140,0.6594119566827741,0.5874936747441548,XLearner
9,140,0.8215913828464826,0.7649199060996286,XLearner
10,140,0.9942400105962449,0.9352732830136682,XLearner
