propensity_bucket,rows,treatment_rate,true_cate_mean,baseline_need_mean
"(-0.001, 0.1]",600,0.07166666666666667,0.035206871096844554,-1.2194614207186942
"(0.1, 0.2]",609,0.12151067323481117,0.16219690125215047,-0.534980121027197
"(0.2, 0.3]",481,0.2577962577962578,0.20832445937050165,-0.15304561053051233
"(0.3, 0.4]",402,0.35074626865671643,0.30512541224783335,0.16170077501013325
"(0.4, 0.5]",299,0.3979933110367893,0.41956158919078257,0.43130033401785306
"(0.5, 0.6]",248,0.5645161290322581,0.44970381572887713,0.6361242819860885
"(0.6, 0.7]",213,0.7089201877934272,0.5291048947464166,0.9076588037895569
"(0.7, 0.8]",168,0.7678571428571429,0.5888571421662254,1.1852292279545944
"(0.8, 0.9]",140,0.8785714285714286,0.6238433910967804,1.4534527747394332
"(0.9, 1.0]",40,0.925,0.6004618071104972,2.0008627488370356
