covariate,treated_mean,control_mean,standardized_difference
baseline_need,0.3505869903949728,-0.4127300820987864,0.8151454613938465
high_need_segment,0.40664451827242526,0.13979933110367893,0.6274099513193989
friction_score,0.2442877073646437,-0.29523243420368994,0.548809954485328
content_depth,0.19750120694508824,-0.15336309108397073,0.35312990127962046
prior_engagement,0.19047370860306304,-0.13537808365816453,0.33002846257519297
account_tenure,-0.12214771672239813,0.14342638998892765,-0.26155513633557287
traffic_intensity,0.09878582634046118,-0.07782020352765084,0.17869571287559208
price_sensitivity,-0.08719805864898733,0.0592810455489444,-0.1481068075302621
seasonality_index,0.025701317105192478,-0.08113549870552055,0.1095090783601436
region_risk,0.37009966777408637,0.328428093645485,0.08746433230261615
novelty_affinity,0.029986544133871838,-0.04582402096135702,0.07572149923383327
recency_gap,0.037585733978078566,-0.00420338956507896,0.041309746937517336
device_stability,0.01766959675356147,0.0026476288304420345,0.015129438620498188
