feature,treated_mean,control_mean,standardized_mean_difference,absolute_smd
baseline_need,0.2938261468293261,-0.24303079481176001,0.538938481080954,0.538938481080954
high_need_segment,0.3871517907902217,0.21195894689870592,0.3895545230897694,0.3895545230897694
friction_score,-0.19379880295515634,0.12098256484302257,-0.3221957128177327,0.3221957128177327
prior_engagement,0.1951212298248429,-0.10539815308199872,0.3014118742941453,0.3014118742941453
low_friction_segment,0.4752700397953383,0.3525211958946899,0.2511146132563781,0.2511146132563781
content_affinity,0.12421507460973293,-0.09161850852408,0.2180962843430754,0.2180962843430754
novelty_preference,0.07463636835916809,-0.07334975564911154,0.15010754140094443,0.15010754140094443
region_risk,0.30642410460488917,0.27755466309683174,0.06351018058254712,0.06351018058254712
price_sensitivity,0.4160230844684742,0.4220350388613503,-0.03008387436968183,0.03008387436968183
account_tenure,48.98591085163669,48.214978925378304,0.028049166651524775,0.028049166651524775
device_stability,0.6683244268663971,0.6689045899787204,-0.003237961419012582,0.003237961419012582
