propensity_bucket,rows,treatment_rate,true_cate_mean,baseline_need_mean
"(-0.001, 0.1]",203,0.07389162561576355,0.021186206931653042,-1.5849954674702968
"(0.1, 0.2]",389,0.16195372750642673,0.07812583810987433,-0.9869850602664708
"(0.2, 0.3]",386,0.24093264248704663,0.18853081384345624,-0.6020765857321233
"(0.3, 0.4]",405,0.3333333333333333,0.2129294938906348,-0.3224804014898736
"(0.4, 0.5]",385,0.4597402597402597,0.28609498885071966,-0.0877829185907317
"(0.5, 0.6]",374,0.5320855614973262,0.38053852033752134,0.18392357414993446
"(0.6, 0.7]",333,0.7027027027027027,0.5142912361204207,0.49299163798488316
"(0.7, 0.8]",301,0.7807308970099668,0.5372352211799427,0.7415691071699405
"(0.8, 0.9]",283,0.8551236749116607,0.7083903720931373,1.1197564903035915
"(0.9, 1.0]",141,0.9361702127659575,0.7654289916385775,1.603058006914913
