lower_bound_threshold,target_rate,selected_rows,population_true_gain,mean_true_cate_selected,support_risk_rate,median_interval_width
-0.2,0.8404761904761905,1059,0.2653791592974771,0.3157485748015308,0.1397544853635505,0.401159840656818
-0.15000000000000002,0.8134920634920635,1025,0.27292589396682765,0.33549914770556377,0.12292682926829268,0.3980246472582609
-0.10000000000000002,0.7523809523809524,948,0.2827287147581949,0.3757786715140565,0.0981012658227848,0.388864434032029
-0.05000000000000002,0.6944444444444444,875,0.29123356429123287,0.4193763325793753,0.08114285714285714,0.38245050700216365
-2.7755575615628914e-17,0.6285714285714286,792,0.2937152796499035,0.46727430853393737,0.06186868686868687,0.3701995770806624
0.04999999999999996,0.5563492063492064,701,0.29045431386593784,0.5220719478902734,0.0456490727532097,0.36449080613772905
0.09999999999999998,0.4888888888888889,616,0.2822702049910374,0.5773708738453036,0.032467532467532464,0.3615911110944351
0.14999999999999997,0.4119047619047619,519,0.2650662526840565,0.6435134458225649,0.02119460500963391,0.3600021109319037
0.19999999999999996,0.3484126984126984,439,0.2471672340278057,0.7094093732916519,0.01366742596810934,0.36088657722967654
0.24999999999999994,0.28888888888888886,364,0.2225698518047306,0.7704341024009904,0.01098901098901099,0.3563559350376876
0.29999999999999993,0.2357142857142857,297,0.19641362298527715,0.833269915695115,0.0,0.3500576929756839
0.3499999999999999,0.18095238095238095,228,0.16751635556140398,0.9257482807340743,0.0,0.3419366172579033
0.39999999999999997,0.1388888888888889,175,0.13618425182270713,0.9805266131234912,0.0,0.3207637043527398
0.4499999999999999,0.0880952380952381,111,0.0958890326197251,1.0884701000076902,0.0,0.31747946651255865
0.49999999999999994,0.05555555555555555,70,0.0643157114288675,1.157682805719615,0.0,0.29763525385276757
0.5499999999999998,0.026984126984126985,34,0.03347439290404833,1.2405216193853206,0.0,0.27207670855339167
0.5999999999999999,0.011111111111111112,14,0.014218828107539615,1.2796945296785653,0.0,0.2569900660244835
0.6499999999999999,0.0015873015873015873,2,0.0022507811484082756,1.4179921234972135,0.0,0.23230258932230297
0.7,0.0,0,0.0,,,
