covariate,treated_mean,control_mean,standardized_difference
baseline_need,0.40900487838553967,-0.43411227287247334,0.9200149555311519
high_need_segment,0.44721311475409836,0.14208955223880598,0.710023075030728
friction_score,0.27583366239526036,-0.31498445261756036,0.5966838472303161
prior_engagement,0.20460519432240856,-0.1278483906290736,0.33454885238560805
content_affinity,0.18158555135564136,-0.1486093326175117,0.31950576645111944
seasonality_index,0.10224665364860214,-0.13019604876636912,0.2378070359042881
account_tenure,-0.10984108342085128,0.09414284663245909,-0.20284585177757047
traffic_intensity,0.0876927585611699,-0.09022391978037797,0.18198241785781738
trust_score,-0.05020609925863061,0.0867052393385029,-0.13583570666664752
region_risk,0.35540983606557375,0.31343283582089554,0.08903456488075269
recency_gap,0.03389004933508377,6.780691089117947e-05,0.03437509541797933
price_sensitivity,0.006812814479719794,-0.021323403060675206,0.02828142897819496
device_stability,0.024539314225184922,0.03267932709421183,-0.00834482359739188
