feature,treated_mean,control_mean,standardized_mean_difference,abs_smd
onboarding_gap,0.24062218601262217,-0.2842844489540236,0.5502603838495809,0.5502603838495809
prior_sessions,0.2547911138911679,-0.2455346689713872,0.512134135456116,0.512134135456116
content_diversity,0.2235156222563855,-0.21743070822555854,0.4536666120815498,0.4536666120815498
search_difficulty,0.12476393944607808,-0.19172638839993716,0.31759142699759724,0.31759142699759724
high_motivation_segment,0.5650519031141868,0.44061302681992337,0.25078572095132773,0.25078572095132773
price_sensitivity,0.10054943397659977,-0.10547873309090766,0.20710331849904035,0.20710331849904035
marketing_pressure,0.11246256358934077,-0.09059817488595466,0.20624792775880693,0.20624792775880693
support_contacts,1.220458553791887,1.0035335689045937,0.20361090158760106,0.20361090158760106
device_reliability,0.07260950100875417,-0.08346917330503757,0.15494101204871072,0.15494101204871072
weekday_signup,0.7086505190311418,0.735632183908046,-0.060250917985313374,0.060250917985313374
account_complexity,-0.040171561265342194,0.006854233128411271,-0.04691284560399903,0.04691284560399903
region_competition,-0.02885889667185439,0.004862895616910067,-0.03427903095402532,0.03427903095402532
mobile_primary,0.5242214532871973,0.5137931034482759,0.020869117308414984,0.020869117308414984
market_maturity,-0.015483146361464774,-0.0330873890246555,0.017384264455619983,0.017384264455619983
tenure_weeks,9.044219636293109,9.100129857590927,-0.010587390936371479,0.010587390936371479
referral_organic,0.5314878892733564,0.5318007662835249,-0.0006268967344427595,0.0006268967344427595
