cate_decile,rows,estimated_cate,true_cate,treatment_rate,propensity_mean,estimator
1,112,-0.497103906122173,0.0993139010178045,0.4107142857142857,0.37521575492311426,T-learner
2,112,-0.2411948870694831,0.12966016303981315,0.42857142857142855,0.4278216311468461,T-learner
3,112,-0.0746897565125413,0.22348051879152628,0.38392857142857145,0.41978675333150317,T-learner
4,112,0.08388063328994944,0.1394583961686154,0.4642857142857143,0.47729482028198406,T-learner
5,112,0.2457324195381431,0.2385852442275082,0.44642857142857145,0.4806749274815643,T-learner
6,112,0.4304310951879681,0.30765600138621296,0.5,0.489740961032903,T-learner
7,112,0.6473271126427642,0.2906757776552719,0.44642857142857145,0.4525753302338528,T-learner
8,112,0.8599117727756452,0.33602390248751063,0.4732142857142857,0.45446073203229226,T-learner
9,112,1.1110245484098555,0.4604005827119229,0.6696428571428571,0.6203224566833151,T-learner
10,112,1.487442064633041,0.6583676027960594,0.6517857142857143,0.6702265501664076,T-learner
1,112,-0.554262235675795,-0.029977406801258804,0.45535714285714285,0.4142869561887606,manual DR
2,112,-0.21312711847247656,0.1711863122796639,0.41964285714285715,0.4392304310599027,manual DR
3,112,-0.05086041891340861,0.13234105309755687,0.4732142857142857,0.43679293683305537,manual DR
4,112,0.08379243769923153,0.20895226735350253,0.4107142857142857,0.44973311915445385,manual DR
5,112,0.2125482900734333,0.2914353815985745,0.42857142857142855,0.456125284813469,manual DR
6,112,0.3414228796172242,0.3148431910233774,0.5089285714285714,0.49339728000405303,manual DR
7,112,0.5052255840444488,0.3353595505361539,0.4732142857142857,0.495862210898626,manual DR
8,112,0.6778950894061968,0.38206817706334334,0.5535714285714286,0.5307241853106426,manual DR
9,112,0.8904565416223946,0.4681249815156523,0.5,0.5181358795789432,manual DR
10,112,1.3407075755384672,0.6092885826156794,0.6517857142857143,0.6338316334718763,manual DR
1,112,-0.5513622476578341,-0.03654223676912022,0.5,0.4442597351684533,DRLearner forest
2,112,-0.23067044653343727,0.13332879798282946,0.42857142857142855,0.4316773436767666,DRLearner forest
3,112,-0.05934181770361263,0.13493361514827468,0.41964285714285715,0.4107456315101891,DRLearner forest
4,112,0.07177182803160134,0.2670102703369199,0.4642857142857143,0.5030078384008202,DRLearner forest
5,112,0.19044416776465997,0.2409134068508876,0.44642857142857145,0.4837004596277584,DRLearner forest
6,112,0.31777907214653395,0.30452625391273475,0.48214285714285715,0.4939377069440353,DRLearner forest
7,112,0.4472375405234164,0.3074153586606948,0.5089285714285714,0.5051066115692946,DRLearner forest
8,112,0.5984988444689527,0.44997459155977826,0.5714285714285714,0.5337176912611954,DRLearner forest
9,112,0.773393648247194,0.4718303049799422,0.5089285714285714,0.4841446843468569,DRLearner forest
10,112,1.1127567330271924,0.6102317276193039,0.5446428571428571,0.5778222148084128,DRLearner forest
1,112,-0.3003218646041759,-0.2213854048301723,0.4375,0.38876859191941426,LinearDML
2,112,-0.07599830462691204,-0.02490446673383415,0.375,0.39908799713658166,LinearDML
3,112,0.042399317991806594,0.12191983734668067,0.4107142857142857,0.4291724855119198,LinearDML
4,112,0.13402133559108975,0.15732293803008104,0.45535714285714285,0.4733980862138417,LinearDML
5,112,0.22518755942468732,0.29396080550811676,0.5267857142857143,0.4896760554543683,LinearDML
6,112,0.3063006774665166,0.32136477204179964,0.5446428571428571,0.49839682964453585,LinearDML
7,112,0.38828083030778837,0.3769483677759267,0.4732142857142857,0.4733128260982532,LinearDML
8,112,0.48317480272304064,0.46974558397751476,0.49107142857142855,0.5170008865802623,LinearDML
9,112,0.6162688997475305,0.5994783683329985,0.5714285714285714,0.5659149165195599,LinearDML
10,112,0.8542786559482769,0.7891712888331337,0.5892857142857143,0.6333912422350456,LinearDML
