covariate,treated_mean,control_mean,standardized_difference
baseline_need,0.39126852528197126,-0.43473080343573306,0.8981256696085809
high_need_segment,0.4400256574727389,0.1425959780621572,0.6925419156829867
friction_score,0.2576545862073193,-0.30869470477049565,0.57629761546987
prior_engagement,0.18809765929018535,-0.11905385971689472,0.30866661037296106
content_affinity,0.1506237972913909,-0.12901828741386726,0.2749911784991855
seasonality_index,0.1067466058260611,-0.13928713793563635,0.2518577633302841
account_tenure,-0.12624890384562767,0.11395713405722382,-0.2392252188482839
traffic_intensity,0.08743200770166354,-0.09366246729630863,0.18521844823707034
trust_score,-0.06966367589455562,0.1080272061195569,-0.1765262427997315
region_risk,0.3553559974342527,0.3126142595978062,0.09068949745582887
recency_gap,0.03826377009706004,-0.004788126611560737,0.043765860393735014
price_sensitivity,0.013370513125540131,-0.028136372948065418,0.041714558235161785
device_stability,0.02605191780905496,0.03141096112851624,-0.005493767538050502
