scenario,x,y,true_relation
nonlinear_additive,1.6749081525100449,0.8428191424350036,x -> y
nonlinear_additive,0.4827701348394364,0.35887377535646475,x -> y
nonlinear_additive,-1.055683791543982,-0.8161024236751102,x -> y
nonlinear_additive,-2.285242146528943,1.4400961648163482,x -> y
nonlinear_additive,2.368271975531071,0.4264236184822419,x -> y
nonlinear_additive,0.4823585203234422,1.0569713746459035,x -> y
nonlinear_additive,1.4513158220936062,1.2075670212364666,x -> y
nonlinear_additive,2.0516969064772637,0.7456680295472717,x -> y
nonlinear_additive,0.9407722379587256,1.2630290505621635,x -> y
nonlinear_additive,-1.5500426330613841,-0.18000347815600629,x -> y
nonlinear_additive,2.407394903136332,0.8100761779429843,x -> y
nonlinear_additive,-1.0762997499117573,-0.1987436582018537,x -> y
nonlinear_additive,0.6463658487452513,0.9478099850544807,x -> y
nonlinear_additive,0.40518239390178223,0.4673757689309026,x -> y
nonlinear_additive,0.49956136566136466,0.45248858090008104,x -> y
nonlinear_additive,0.17624052680825342,0.45691914572900094,x -> y
nonlinear_additive,2.4788855210927574,0.7474395807288271,x -> y
nonlinear_additive,0.009730423484630268,0.12245410621470523,x -> y
nonlinear_additive,1.3551128820125373,0.8266814593232135,x -> y
nonlinear_additive,-0.029191106858452276,-0.16097213363948978,x -> y
nonlinear_additive,2.488372465860947,0.8240587652590464,x -> y
nonlinear_additive,2.393109606847797,0.9387230372405522,x -> y
nonlinear_additive,-0.5321597751665019,-0.6155990381824821,x -> y
nonlinear_additive,-0.8903736860389748,-0.8746142608051435,x -> y
nonlinear_additive,1.8109032555962479,1.4125721953174961,x -> y
nonlinear_additive,1.4966244768447465,1.2258413033806375,x -> y
nonlinear_additive,0.9571531635749935,0.639341405338723,x -> y
nonlinear_additive,-0.4574107417086877,-0.9800790675031352,x -> y
nonlinear_additive,-0.5511743366190998,-0.7170195062291664,x -> y
nonlinear_additive,-1.841758022033717,0.7111857489439927,x -> y
nonlinear_additive,0.6274874387678206,0.5617087841683055,x -> y
nonlinear_additive,-2.087993147806752,0.9418499275275851,x -> y
nonlinear_additive,-1.1271350565023326,-0.5592331130655369,x -> y
