scenario,weight_column,mean_weight,max_weight,p95_weight,p99_weight,effective_sample_size,nominal_sample_size,ess_share_of_nominal
usable_overlap,ipw_weight_raw,2.000950856139348,10.438141738893172,3.5018625657975324,4.870062364756492,4328.4703951447655,5000,0.8656940790289531
usable_overlap,ipw_weight_clip01,2.000950856139348,10.438141738893172,3.5018625657975324,4.870062364756492,4328.4703951447655,5000,0.8656940790289531
usable_overlap,ipw_weight_clip05,2.000950856139348,10.438141738893172,3.5018625657975324,4.870062364756492,4328.4703951447655,5000,0.8656940790289531
usable_overlap,stabilized_weight_raw,1.0003543405986874,4.882962705454226,1.7252693762413258,2.411710893103883,4357.480619226533,5000,0.8714961238453066
usable_overlap,stabilized_weight_clip01,1.0003543405986874,4.882962705454226,1.7252693762413258,2.411710893103883,4357.480619226533,5000,0.8714961238453066
usable_overlap,stabilized_weight_clip05,1.0003543405986874,4.882962705454226,1.7252693762413258,2.411710893103883,4357.480619226533,5000,0.8714961238453066
weak_overlap,ipw_weight_raw,2.0935826563642026,1138.1566995038245,4.347776050131156,11.870133243319621,79.11884956291182,5000,0.015823769912582365
weak_overlap,ipw_weight_clip01,1.876279990894498,99.99999999999991,4.347776050131156,11.870133243319621,1019.6498469359985,5000,0.2039299693871997
weak_overlap,ipw_weight_clip05,1.7713787207480072,20.0,4.347776050131156,11.870133243319621,2108.846972841654,5000,0.4217693945683308
weak_overlap,stabilized_weight_raw,1.0263608205439079,425.6706056144304,2.179343331185607,6.013634512433811,132.61094963105492,5000,0.026522189926210984
weak_overlap,stabilized_weight_clip01,0.9452721256868075,37.39999999999997,2.179343331185607,6.013634512433811,1318.4724191408477,5000,0.26369448382816957
weak_overlap,stabilized_weight_clip05,0.9039711652622878,12.52,2.179343331185607,6.013634512433811,2301.1960327135084,5000,0.4602392065427017
