feature_exposure,weekly_value,user_engagement,prior_sessions,account_age_weeks,is_power_user,baseline_value,treatment_probability
0,2.012962754811273,-1.2316649689147774,2,11.291630448050332,1,0.3903881842673471,0.23207547794835484
0,5.8941372619489325,0.2671189477208684,4,8.218279632924531,0,2.5835016016908936,0.5292468960436805
0,5.865394438030461,-0.006926123563646536,4,19.84056088872538,0,1.6358821659286336,0.3855698509603284
1,8.297605797740868,0.5015352951547885,3,3.4762874269047033,0,4.670993852749218,0.6798935609249768
1,6.8576269792386935,-1.3267282928093849,6,15.562224114345739,0,2.764735347600749,0.24014788158784173
1,9.738300931215655,1.107768166657506,5,8.728398712503369,1,2.7455006470817658,0.7865726644855003
1,6.9719922386717865,0.0937548811679036,5,9.028758268566714,0,2.802334960317709,0.5125072710487809
0,3.844803143010442,-1.1708180763562224,0,5.4362230390366815,1,1.5839030167410437,0.2887593487467325
1,6.808723740436081,-1.3582403949601034,1,4.466859701078689,0,2.8108826794169604,0.2312229381461462
0,2.7489188668301145,-1.3065640246645707,2,22.23707953001792,0,0.21143895703822402,0.12937235972350775
1,4.322345047409282,-0.7176152818724516,2,9.105583375768557,0,0.4660724771117928,0.23371325531530193
1,9.439798532870402,1.1856213579293313,1,5.941610225157548,0,2.5495822292947437,0.6811994303615437
1,7.324426108397749,0.8945337459684365,2,7.800377514801651,0,2.3878479711859963,0.6239131155210337
0,6.603220263791379,-0.5440478173910653,1,9.08021242529507,0,2.5413173479223103,0.33778560563117643
0,6.444126380038905,-0.5465879239818061,2,22.953174293877858,1,3.4169375302407463,0.4456702376344269
1,11.913518887678705,1.9295877402585404,3,4.2736652735927825,1,4.796493460120321,0.9136362039510865
1,12.521299264950878,0.9027885949894684,3,4.456057526567781,0,4.598737855380354,0.7398400892947145
0,4.788677977984601,-0.8033905796046447,3,4.6520635935899275,1,2.405481600463064,0.4227737598993724
0,6.339558913892935,-0.14971196448317786,3,3.502302138301298,0,1.17041252324251,0.38503725355166846
1,7.382020176145852,-0.43029158025002134,3,13.913464986381081,0,1.5562544471008568,0.3161148603055189
0,6.825593749678566,0.15154145753356082,4,6.043407074742997,1,4.896472159903528,0.7250948793185028
1,9.521960015603815,0.8791498586600328,3,4.680003106525524,1,3.5958671647578146,0.7811350657267909
0,4.300732244117092,-0.27489147947244597,4,6.649267392480541,0,0.8686702798606147,0.34616983171026455
1,6.821952390654143,0.36928102698558257,2,8.792910738290612,0,1.8715135100926137,0.4919591589161897
1,8.30021380309529,0.5682654605670364,2,8.57621285535029,0,1.7492383832367642,0.5264295562361413
1,12.217928588148197,0.7835076560925684,1,10.168232759017155,1,6.676943157805287,0.8388466160062236
0,6.977839824234777,-0.6304340955306936,5,30.48624260487074,1,2.3461881989280142,0.37932758095892466
0,4.723867523109883,-0.221796455744778,0,8.986708036951079,0,1.0686081909220355,0.32114471089952973
1,9.746342359096793,1.9723534034631014,5,12.783810595062144,1,5.312137443734731,0.9204555739394924
0,7.746114029064185,-0.18596806121184997,1,3.0467083510689417,0,3.1010953486790953,0.45406588172991985
1,9.236034031402326,0.029913094799628087,0,6.3077336403562345,1,1.844612059771975,0.5245394891392033
1,7.302025905946649,0.44094825078674765,1,4.687256456761365,1,3.353330706241487,0.6884999817884864
0,6.377842064541971,-0.5772605523613432,0,4.76044439814895,0,1.4239679549485305,0.28937498412331414
1,8.358582913148098,-0.3897476006393902,1,9.54792172157769,1,3.2687688316917356,0.5096830042163223
0,11.190366685643987,1.6782279840043126,8,7.502831480646366,1,3.6990645138994416,0.8899130073391743
1,12.72489437597621,1.2964559909835798,5,14.039870372119687,1,4.5145297990845945,0.8493449599959922
1,5.441122877157001,-1.1034374089422054,1,5.444715889596889,1,1.0567677872648105,0.2863726223218237
1,8.9884945084999,0.0651657951870844,3,12.376740822438071,0,4.042025532070492,0.5361584261274428
0,1.1904127833477787,-1.2894297037907945,0,1.5038914026764598,0,-0.5253326087468639,0.14073863121670782
0,3.5845085157110157,-1.5317475242426173,3,5.04560110397235,1,1.5953062212551445,0.25692346820704653
1,8.159798749613882,0.0027364725013915097,2,9.601390757057548,0,2.173042992162605,0.431134704854288
1,8.192852955723806,1.524554203577688,1,5.708702191990907,1,3.839342992936601,0.8509258842171091
0,9.521080986648613,-0.08182613481761292,1,18.150759734896447,1,4.287273926714968,0.5889756738229794
1,10.741344851934693,1.4702009910257487,5,10.579174647923606,1,3.533892319350036,0.8486756638345636
1,6.62063972663157,-1.0568504078749414,3,11.71352784124753,1,1.6984341438043664,0.3183214664890684
0,4.314715961683738,0.13626829105665683,2,9.473069825230077,0,3.867388660666933,0.5424963061055664
1,7.691126418135892,0.08094594493870162,2,13.233767115914327,0,4.0322962491517735,0.5256548254798344
1,5.264217294860162,0.08619597103012647,1,17.41117770140597,0,1.6775570467929422,0.3853977294864349
1,11.333786228274695,0.9934001102540754,2,25.402527269974872,1,4.754369567467135,0.7763560723441403
0,7.275953029479679,0.5733787615494427,3,8.060171836318252,1,3.071250015081199,0.7051721716200849
1,5.9449854074191615,-0.5490205679347314,2,15.684453067738815,0,2.0622244029673973,0.30321424019318444
0,3.7361741122479883,-1.3512770677788306,4,21.56798888816713,0,2.6851049143080044,0.204643580770249
1,5.560573600415733,-0.5538102761652128,1,10.524807675087391,0,1.7770530204189914,0.2982783442447788
1,6.963399611413646,-0.020585458484185266,3,7.251379910632558,0,1.7789702518239454,0.4256931594663091
0,4.225577844975749,-0.5506707019933543,3,17.00466200127675,1,2.1707981612811738,0.41545806049620687
0,2.0400932495489212,-1.5250804770169624,2,11.484679186841477,0,0.012282998398198575,0.12348025464541035
0,1.7886381614891884,-1.763631886148366,1,5.293707690526111,0,-0.48059993847633203,0.10007143455138223
1,10.276671668073408,0.8112818236152496,3,15.758764021130947,1,4.043688725574984,0.7579332384746241
1,6.159281440642676,0.25643114886432494,3,4.281869011098867,1,2.339814005003092,0.6292217783805226
0,5.433547644196143,-0.5855581432194162,2,16.53400872006045,0,2.2570779899682547,0.30258022349224595
1,9.135509004226469,0.4408157005034306,5,8.81547689660439,1,3.8443311498683244,0.7289469967610783
1,8.854214889046553,0.49441833246945965,2,13.320716553956553,0,2.6395314875740588,0.5383321896317291
0,5.537562548425096,-0.21350892697386348,2,0.7169373917686231,1,0.9423202437459717,0.47175581102944464
1,6.658786085383734,-0.42714517140046665,3,8.155319322361528,0,1.1457587247919627,0.31758463073202675
1,11.919204093810977,1.1488160535822982,3,14.670360646818835,1,3.754887015813142,0.7973760879683723
0,5.673861088830611,0.8532398591206586,5,5.313990868629257,0,2.5519138514997017,0.659993397482896
1,9.127865586720066,1.4325295940128009,1,20.281096502311307,0,4.3483234139140965,0.7505357956773097
0,7.714229792949392,1.0122079867940328,1,2.1642171546846916,1,4.807333465048501,0.8290302246538626
1,9.79102196479037,0.2584077777588144,3,4.041855497809532,0,4.006898335581166,0.6028796138043127
0,4.343524430952219,-0.44913400646498,3,11.971703373684614,0,1.6089515732667254,0.32145517313133215
1,6.988244140882572,-0.34264115212031465,5,5.255702861484474,1,1.9239522275511847,0.5079598226878169
0,6.659139874534949,-0.5945685496558906,4,7.503610047765059,0,2.140776679696623,0.3429774465089874
