variable,summary,new,old
traffic_intent,mean,0.04082293411131263,-0.034198040996847694
traffic_intent,std,0.9889354296375453,1.005594749747227
catalog_health,mean,-0.5600817265526318,0.0020034106756191055
catalog_health,std,1.0108479983559457,1.011563738303857
latency_pressure,mean,0.6695814177521867,0.02963195241392974
latency_pressure,std,0.9859144125734751,1.0008623122511273
recommendation_quality,mean,-0.9493538642857638,-0.03536426298042834
recommendation_quality,std,1.1207446398954808,1.1311836415085017
session_depth,mean,-0.8826955106022173,-0.04926243769468799
session_depth,std,1.2778755780972897,1.2762266347625864
future_value,mean,-1.1494145733510752,-0.06860322229897635
future_value,std,1.689175345358657,1.6660584332699402
