scenario,covariate,raw_smd,weighted_smd_clip01,weighted_smd_clip05
usable_overlap,user_engagement,0.6465013702214935,-0.006006171587339379,-0.006006171587339379
usable_overlap,prior_sessions,0.2648550024136352,0.005227480036477545,0.005227480036477545
usable_overlap,account_age_weeks,-0.027640253344455468,-0.0027223628359190626,-0.0027223628359190626
usable_overlap,is_power_user,0.3894407962865781,-0.00015461802122109365,-0.00015461802122109365
usable_overlap,baseline_value,0.5565626077596467,-0.001765830262148186,-0.001765830262148186
weak_overlap,user_engagement,1.737635996081857,0.26399882464734453,0.5045938032017192
weak_overlap,prior_sessions,0.5026636602516225,0.07727965083956663,0.14836967634266557
weak_overlap,account_age_weeks,-0.05081678108289585,0.0013289685089352033,0.01389431212404767
weak_overlap,is_power_user,0.8816972274211766,0.1613021773890516,0.2960038653411054
weak_overlap,baseline_value,1.4338945446562044,0.1520698528589098,0.36973571157331425
