draw,estimate
0,0.8247645245121786
1,0.8492850418795714
2,0.8415712640528221
3,0.8594339067100091
4,0.8178679659181258
5,0.8070208828706305
6,0.8683025918533955
7,0.8913694613825344
8,0.8532979742715787
9,0.8405072353310792
10,0.8433559500312905
11,0.8652670972274119
12,0.8841879093328937
13,0.817820925412379
14,0.8651436004259028
15,0.8236498685421005
16,0.8543679888703719
17,0.9169146251252434
18,0.8572003615150339
19,0.8692299960585194
20,0.840548732999965
21,0.8769039158606734
22,0.8051361730383824
23,0.8349866919654869
24,0.8412289224765022
25,0.8149433311734392
26,0.8737561293611578
27,0.9189972324531792
28,0.8612130049589239
29,0.8383608810614147
30,0.8924049411623999
31,0.8476721922240356
32,0.8395529506260988
33,0.8291086347810426
34,0.828019689249536
35,0.8039552076490497
36,0.8811670644219457
37,0.8491043256174433
38,0.7805381465898606
39,0.878107370611646
40,0.8638697545104692
41,0.8389625672037009
42,0.8828068589786264
43,0.8283988097589365
44,0.8254769758727192
45,0.8932534732798941
46,0.9109458900722907
47,0.8854039662604192
48,0.8667896731405584
49,0.8841373111299378
50,0.7525505211142505
51,0.8774367259307606
52,0.8495760098171308
53,0.8418322387903643
54,0.8765856279106818
55,0.8538721660491784
56,0.8577635762722551
57,0.8501056966318581
58,0.8309543912997746
59,0.8427969415052107
60,0.8425781830751773
61,0.8387150073408387
62,0.8510536714645072
63,0.8524321700843442
64,0.8702329183371701
65,0.8052958354367294
66,0.8526559579477089
67,0.8368010117500503
68,0.8916489161429781
69,0.8078941602869244
70,0.8208422011322396
71,0.8792117694217149
72,0.8202828903247166
73,0.8268829054284949
74,0.8231604180724568
75,0.8904951207387836
76,0.8502666928890361
77,0.8453502984203696
78,0.8537237549698578
79,0.8666096202319247
80,0.8912732051960459
81,0.7918111561074741
82,0.8490173192326463
83,0.8868171059203419
84,0.8284920685177766
85,0.8769568580803057
86,0.8209656719098554
87,0.8878363128832291
88,0.8096730178723139
89,0.803004910064829
90,0.8533239492857642
91,0.825266044003616
92,0.866834608342588
93,0.8563283258897503
94,0.8616488249788268
95,0.8615085335346724
96,0.8534491485892213
97,0.8248059203819029
98,0.7970900207052891
99,0.8754117537433888
100,0.836848280590403
101,0.8605547909536655
102,0.8563571636925723
103,0.8706831049111885
104,0.8659501585686633
105,0.8470085410514786
106,0.9134844318731627
107,0.8376472901184344
108,0.8329765232688442
109,0.8200044632344284
110,0.8094324676568172
111,0.903117408614201
112,0.8794489473655386
113,0.8300158832570534
114,0.8489937130717632
115,0.8464627246522181
116,0.8491486789887305
117,0.7889307389850191
118,0.8264918329693071
119,0.8627053261919473
120,0.8545236140358798
121,0.85099944827922
122,0.8781631918319718
123,0.8467118324846036
124,0.8170057761735461
125,0.8532689648459495
126,0.8787748182955195
127,0.8326776702720738
128,0.8331645151946073
129,0.8587263426005841
130,0.8471237808591864
131,0.863852191484497
132,0.826001486203989
133,0.8342143974017788
134,0.8764031198412259
135,0.8384460296389508
136,0.8857354957008309
137,0.8386443724191057
138,0.868046358206786
139,0.8130234520134205
140,0.8491987875782605
141,0.8476922554416126
142,0.863029986237996
143,0.8179034888178623
144,0.8280835748399056
145,0.8524534996149334
146,0.8562365539931936
147,0.8513379700196138
148,0.8726609531385151
149,0.8057884655622635
150,0.84963465789398
151,0.8463875864155874
152,0.8382070930724528
153,0.852381997782671
154,0.8679131775416151
155,0.8681565223851617
156,0.8475148182885225
157,0.7782737301716389
158,0.8687607612237435
159,0.849585573799785
160,0.7921166337609246
161,0.8092320743039759
162,0.7778070398414616
163,0.7973689985442959
164,0.8296814962014938
165,0.8414685868792156
166,0.823639070591572
167,0.8057173453233131
168,0.8593477550101907
169,0.8398230106675999
170,0.820545480066235
171,0.8428493386253343
172,0.8324519858874353
173,0.8206142281343467
174,0.838993356989979
175,0.8048954255644529
176,0.8270055882973039
177,0.8225631430394873
178,0.8766626936234787
179,0.8828992102189294
180,0.7807647751256082
181,0.8482524723012655
182,0.8170336312278679
183,0.8704119451899179
184,0.8013072782585116
185,0.8271284837196217
186,0.850734651655932
187,0.8616346680782421
188,0.8493766037420897
189,0.8534959848494742
190,0.9018281898830381
191,0.8990791816411887
192,0.8747637404129031
193,0.9179368435240458
194,0.844693698606405
195,0.815732466803743
196,0.872674299663225
197,0.8354020721724735
198,0.8320583078352723
199,0.8546398731386108
200,0.9488798158496438
201,0.8394161369085955
202,0.917005330746143
203,0.8484677453383886
204,0.8555058391718076
205,0.8683502721224681
206,0.8464830369098385
207,0.8486951285764955
208,0.8957328915925534
209,0.8161697126313305
210,0.8311540734356239
211,0.8049572429044698
212,0.8073496471706556
213,0.8465850032140287
214,0.8891330643950759
215,0.8675093245074031
216,0.8214501814619447
217,0.8682817946861525
218,0.8018678523253924
219,0.8623651577640763
220,0.8098119524278099
221,0.8291401774379924
222,0.8584093025587621
223,0.8706094586050284
224,0.8440014378634133
225,0.8353298696108236
226,0.8556854138750426
227,0.7825648469652631
228,0.8338658797592468
229,0.8156254047758122
230,0.8279008679154957
231,0.8739734206838242
232,0.9387014687791774
233,0.8667328285668621
234,0.8667469037425841
235,0.8502237220565929
236,0.8551516903504621
237,0.8564455265390412
238,0.8190436993095536
239,0.8556346456297717
240,0.8196062529083732
241,0.8478840617866391
242,0.880859789518049
243,0.8407630257530601
244,0.8321518267781703
245,0.8168909925801078
246,0.8345439129725403
247,0.915993968422341
248,0.8432260668598611
249,0.8671807271559597
