variable,mean,std,source
traffic_intent,-0.03419804099684769,1.0055947497472284,old_observed
catalog_health,0.0020034106756191025,1.011563738303857,old_observed
latency_pressure,0.029631952413929744,1.000862312251128,old_observed
recommendation_quality,-0.03536426298042834,1.1311836415085024,old_observed
session_depth,-0.04926243769468798,1.2762266347625855,old_observed
future_value,-0.06860322229897636,1.6660584332699422,old_observed
traffic_intent,-0.06709422701159629,1.0226933454549758,gcm_reference_sample
catalog_health,0.02328803728225458,1.0024865620726755,gcm_reference_sample
latency_pressure,0.049107860539429046,0.9967611748501984,gcm_reference_sample
recommendation_quality,-0.02939652148188411,1.1221033800204177,gcm_reference_sample
session_depth,-0.05364690597069554,1.2782560075732212,gcm_reference_sample
future_value,-0.07405960392228861,1.6773775065776881,gcm_reference_sample
