feature_exposure,weekly_value,user_engagement,prior_sessions,account_age_weeks,baseline_value,post_exposure_activity,support_ticket,treatment_probability
1,9.413987139424053,0.5532605888887387,1,7.155994198581692,3.6373745100711683,1.2789760430752866,0,0.6411722715474686
1,10.329205012532242,0.21760060921947388,2,21.010390420442718,3.2693869195133693,2.4336269707350136,0,0.6370950583309475
1,7.837427094342667,-0.057989987866526184,3,7.334887580480838,3.3209905593943665,0.2791475892222658,0,0.5294867602256588
0,1.0027243113993327,-2.3189360947215656,1,9.944195186859613,0.3313140917594406,-0.9649464348509623,0,0.09477924121772685
0,7.957375891516278,0.4314941677088505,3,6.325858859192274,3.0025171411929876,0.22641249808147948,0,0.6063906742020321
0,-0.9241443539280577,-2.126279784450882,0,11.145503768075741,0.3433761152462348,-3.215740928061492,0,0.10752203207428918
1,10.405201875485632,0.9099212170226342,3,6.587455007720564,3.8000205954705866,2.4140410649028663,0,0.723859952211821
1,9.272431455924938,0.6059655730064136,0,14.167340045162929,3.54561067072982,1.6757512300597455,0,0.6695895360164242
1,10.185898054788865,0.8300566485784159,3,12.040433898766421,4.151370426999146,0.25757006720360587,0,0.7449962005719586
0,8.185959235876137,0.8276983437153878,1,6.064207905385086,3.39217197225486,1.337871292097351,0,0.6756898346834742
0,6.396137670152326,0.2985144698332214,2,13.369293725226026,3.133398687778319,0.6358491193271661,0,0.6106889753414039
0,4.842492784435315,-0.5350014137339273,3,0.8633835276769752,2.477515726138318,-1.0143394525175817,0,0.3670761884048216
0,3.831444892111965,-0.3070622870057959,1,9.317108194858465,0.7848640379543443,1.5046812595145733,0,0.35938552407184926
1,8.456912533186737,1.5080722715721342,3,1.5620176265890684,3.799550637267596,-0.13314857466835894,0,0.7927557774754556
1,8.194108921409564,-0.5822293778059019,4,8.465834417501332,3.312338327426872,-0.4608958971066416,1,0.4402257497474029
1,8.92523742973247,-0.22812380385128453,2,12.441204289099229,2.8174416065282912,0.6759350667722068,0,0.4883682319909888
0,2.8931457633316575,-0.7245145044162855,4,4.2080187433513,1.1597289791394887,-1.8533976209732277,0,0.30434328698599694
1,7.105698086047907,-0.5172493374907822,2,0.41789395519274486,1.736976567044422,1.4616400627567094,0,0.32898357074714396
1,10.79167665548723,-0.30655788195456973,1,4.0408068539982755,2.4700636945919534,1.6626575266953763,0,0.4061706243315973
1,8.85793344854669,0.2565516458675206,3,8.673851351411564,3.5953414627412834,0.49464422873224645,0,0.6096591757726754
0,5.752497308112815,-0.2938560550257995,2,18.193516794673187,0.8615549800132738,0.8075604391307436,0,0.41674873058155915
0,6.5336144569811605,-0.3547084649887684,3,8.616581325204063,3.6569883388899305,-0.06274766644323324,0,0.4917064496106912
0,4.237139364870368,-0.6168151525371501,6,1.1898785060242076,1.122444325413806,1.6519564603532875,0,0.32571841099967097
1,7.852945004310798,0.08958446690608873,3,2.910749004697499,2.895399358314471,1.97370191082741,0,0.5177561396564437
0,3.6383213760897495,-1.3441660008066356,2,14.141272831690328,1.812516609324419,0.6520263935153847,0,0.25232426388315066
1,10.914753971999659,0.052184899307776686,1,5.761465546466065,3.716359639271554,3.4219813902326095,0,0.5413855891178695
1,10.409701295110645,1.3100257323485311,2,6.417512159415744,2.911595247957755,1.4392723834083805,0,0.7465806408244688
0,2.6228257264239407,-0.7669128788338543,2,1.5346942619207125,-0.560593068897054,-0.9349938519116987,0,0.21353572157341813
1,7.426761598816725,-0.04539173803348671,2,12.743498290978733,2.4546570415002944,0.5603001212342167,1,0.5100973377310908
1,12.665241938240781,2.817209016484243,3,4.110398587614637,5.292519184614862,2.69521298551378,0,0.9375338842210656
0,2.8840781679813094,-0.9926744097609564,1,10.456669884433877,2.793017480088487,-2.7008897340795612,0,0.32250948987153427
0,3.545016482362418,-1.621141524211868,2,5.01559056774924,1.554735370061221,-0.8622104971295752,0,0.1770083655599484
1,5.270968707745531,-0.42680913157992273,1,1.4377184893718395,3.085264924745261,-1.4013369685057278,0,0.397152182921875
1,9.990287219633805,1.8069379803781687,3,3.161483544185892,2.812788128685738,1.4763558721844423,0,0.8076919027679268
1,9.867596995615372,2.035115511784091,6,7.952288993906222,4.849145944065956,1.7717771392776778,0,0.9002481153060274
1,4.116700596466624,-1.2159872631305197,6,9.561984811663596,-0.43505671773839794,-0.1156057082243726,1,0.21084153295209207
1,8.066221747679116,0.5701405884703373,2,9.579976449066725,1.9519159113032287,0.037348812793654096,1,0.5936456098245724
1,6.234350972278081,0.004521431343134918,2,1.9317890723109492,2.107816404001033,-0.5982396613306065,0,0.45057688420147873
0,3.6504324413953424,-0.5883707554353481,3,13.631300757833653,1.6591639696607459,-0.7447825744006861,0,0.382388839336808
0,3.301827462857072,-1.9456978173547614,4,6.850962193183552,-1.6628031620916,0.7984175740382193,0,0.09458936096680336
1,10.754708841282262,1.0245839797071592,2,2.0868725033891145,3.274752126860881,2.940746171476386,0,0.6965367451119296
0,2.621566412681795,-0.8605383067300788,2,5.785387120549897,0.09494686611411729,0.251897909359143,0,0.2358383987987191
1,8.910860395604233,0.29900768417420936,1,3.8527895797933387,3.302557976223204,1.2418847333973952,0,0.5623542939157435
1,8.303673511607755,0.08189396317057414,3,3.837784878344973,3.1238038259656182,0.2220292826628233,0,0.531098693933463
1,10.044519748495484,1.8701812688972848,2,7.257430013260302,3.2480094083360944,2.284520721981677,0,0.8328462924788953
1,8.60249398017778,1.1759947894135871,5,3.629186469724097,3.184153510999886,0.7543931169449154,0,0.7477272054712457
0,3.120476653900166,-1.1553360632608776,2,4.49014344054333,1.657864858970465,-2.111597726775171,0,0.23938570553634533
1,7.084985167415416,-0.2623951558776075,7,14.975702642397577,1.350495778772851,-0.18609543649073934,0,0.4781856488517949
1,10.83232710626524,1.0368475527289776,3,16.634789414066127,3.697539099325047,1.1107084624880224,0,0.776906816475724
0,3.980158874655337,-1.333014964281339,1,21.09076352331646,0.8887124133103994,-1.2225908506836456,0,0.24147158278476485
0,3.281560722520392,-0.3922883318669356,0,5.261267028022998,-0.05949845204696147,-1.7126637395355861,0,0.28509747889080295
1,8.52608118275103,0.22757580070206257,3,9.810684742047279,2.9998138229483886,-1.24911561696798,0,0.5837631347506722
0,2.3924070174287557,-1.6158261586823717,0,6.218005204128336,0.7619246283499403,-0.6551486986300732,0,0.15043998019459268
0,1.6013859783721962,-1.2354581464367866,2,2.3958646534375427,-0.0877959218951434,-0.2926910652595801,1,0.17132687577669878
