draw,total_effect,natural_indirect_effect,natural_direct_effect
0,0.7804911935744503,0.48172255298848693,0.2987686405859634
1,0.8149526808722078,0.4968164430216737,0.3181362378505352
2,0.8223420455769237,0.4823668693841341,0.33997517619279094
3,0.7842410773474802,0.46908541508897206,0.31515566225850816
4,0.7876400085072804,0.5056776556954905,0.2819623528117891
5,0.7898369579557141,0.49331332322536203,0.2965236347303518
6,0.8143675366872326,0.5012523191976684,0.313115217489565
7,0.7970760762618427,0.4826106985156953,0.3144653777461478
8,0.783040764089878,0.471086234883964,0.31195452920591393
9,0.7852498221784818,0.4681257984966303,0.31712402368185083
10,0.8110810101180116,0.48259117459157286,0.3284898355264389
11,0.7902029507699793,0.47843317899444154,0.31176977177553655
12,0.766752581607893,0.5057410207104243,0.2610115608974673
13,0.8163782514175023,0.48420705909615497,0.332171192321348
14,0.79354565758107,0.49188503538057715,0.3016606222004931
15,0.8140893023655092,0.48099151955195457,0.33309778281355557
16,0.8047022171901494,0.49459875756552957,0.3101034596246189
17,0.8209717183856938,0.5123740279500387,0.3085976904356543
18,0.7989927708298297,0.4713984705879515,0.32759430024187747
19,0.7880390289763838,0.499776748099264,0.28826228087711975
20,0.7888479134646915,0.49127243942269655,0.29757547404199547
21,0.7719480032315394,0.5080329566535122,0.26391504657802617
22,0.7810339940188191,0.47900996953402125,0.30202402448479815
23,0.7661431697842553,0.4947371874081066,0.271405982376149
24,0.7947054422331437,0.4837207522542825,0.3109846899788611
25,0.7565373043800052,0.47430259894718924,0.2822347054328173
26,0.7658227224680239,0.49557314084472515,0.27024958162329926
27,0.7812699536534073,0.462073434572235,0.3191965190811729
28,0.7841275348436527,0.5065358011042275,0.2775917337394247
29,0.8097459564095114,0.4833728205046512,0.3263731359048604
30,0.7888486333055975,0.4899490497808977,0.2988995835247001
31,0.7930028582039677,0.490166898795345,0.30283595940862296
32,0.7745268087612767,0.48363518403068323,0.2908916247305936
33,0.801519543560817,0.48070244904005693,0.32081709452075935
34,0.8141536836084129,0.49744729921213376,0.31670638439627774
35,0.8124455000761809,0.466806804123694,0.345638695952487
36,0.8059709453627045,0.4890009004880003,0.31697004487470304
37,0.7632551163814938,0.49065838553425883,0.2725967308472356
38,0.803834972600085,0.48100772109365314,0.32282725150643193
39,0.7949453776622348,0.5199533956765998,0.274991981985635
40,0.8080310227158594,0.4922387354722217,0.31579228724363695
41,0.7752266945136853,0.4770616556097432,0.2981650389039434
42,0.8012832389171537,0.507993157707475,0.2932900812096799
43,0.8101920253945104,0.47709045555239443,0.3331015698421149
44,0.8085308894635558,0.4965467080628573,0.31198418140069845
45,0.8142868857661798,0.4966148823913083,0.3176720033748708
46,0.7896763086270051,0.48166057102808785,0.3080157375989168
47,0.8156198542323243,0.5097128900552995,0.305906964177025
48,0.8200171588524856,0.49064261028565687,0.329374548566828
49,0.7844849198146332,0.5043288628160477,0.28015605699858637
50,0.8118070842371268,0.5006912099437575,0.31111587429336907
51,0.8175597207153458,0.513988163177465,0.3035715575378809
52,0.796232308941129,0.473157883640165,0.3230744253009639
53,0.8186312778359413,0.4903326865428111,0.32829859129313166
54,0.8088842494743944,0.4902718697270047,0.3186123797473894
55,0.800436953300921,0.5095385962401627,0.29089835706075906
56,0.7891613614217643,0.47882612021480964,0.3103352412069551
57,0.787088535384841,0.4797445200955966,0.3073440152892468
58,0.7689334130109982,0.44524482593527015,0.3236885870757277
59,0.8012337925612792,0.4854455216041893,0.3157882709570883
60,0.8279706409363586,0.495614464111076,0.33235617682528457
61,0.7779997015650068,0.48352444757108354,0.29447525399392305
62,0.807574046708988,0.4842543399740742,0.32331970673491406
63,0.7885484129262108,0.4953189839345096,0.29322942899170046
64,0.81948054523508,0.5259623375625144,0.2935182076725656
65,0.8397109335100179,0.5048126315546823,0.334898301955335
66,0.7846215368065332,0.47079569312963415,0.31382584367689836
67,0.8147687685438073,0.49729609396077257,0.31747267458303446
68,0.8110406839945519,0.49672595129775443,0.3143147326967968
69,0.7839290148621516,0.4787266693770122,0.3052023454851371
70,0.809100131051142,0.49102636879565514,0.318073762255487
71,0.7739472016831177,0.483422856754077,0.29052434492904156
72,0.8138202479908728,0.4787393305165821,0.335080917474293
73,0.7934495575077635,0.4794049330362844,0.3140446244714786
74,0.7441810982154173,0.4480694114389765,0.2961116867764409
75,0.7816024707625092,0.48665696327247443,0.29494550749003523
76,0.8112594077461631,0.4832911173606122,0.3279682903855512
77,0.82133257992876,0.49732939655937086,0.3240031833693885
78,0.783557880010264,0.47812183307734746,0.30543604693291676
79,0.8199229086541762,0.5025553962683447,0.31736751238583083
80,0.7911851900868401,0.4911626234678873,0.3000225666189524
81,0.8198886198263713,0.5123175585601152,0.30757106126625655
82,0.7613202646348971,0.4794634901929414,0.2818567744419564
83,0.7919316592396508,0.48463490165057105,0.3072967575890793
84,0.7669635218542639,0.4607810190593217,0.30618250279494186
85,0.8127206118350045,0.4988847200154694,0.31383589181953453
86,0.7851098975102269,0.49875193393554534,0.286357963574681
87,0.8141779724745676,0.48700247335231234,0.32717549912225463
88,0.7936534708476014,0.48324842079544883,0.3104050500521508
89,0.7897281347307807,0.48337948684175047,0.30634864788903027
90,0.7679734268022038,0.4742958863382644,0.29367754046394
91,0.8123106827381916,0.4748245985428031,0.33748608419538995
92,0.774572763350319,0.47713029781821636,0.2974424655321043
93,0.7450015162677959,0.46770384321254244,0.27729767305525443
94,0.8134714639180849,0.5102756544518221,0.3031958094662634
95,0.8016194715739108,0.4950512978514292,0.30656817372248235
96,0.8089226715024412,0.5001931483549998,0.30872952314744156
