row_id,observed_quality,counterfactual_quality,observed_watch_time,counterfactual_watch_time,observed_next_week_value,counterfactual_next_week_value,delta_watch_time,delta_next_week_value
0,0.10987003592695999,0.60987003592696,0.6788951849748127,0.9125248135658975,-0.20420698512606433,0.24822436024106798,0.23362962859108483,0.4524313453671323
1,-0.6808077338381617,-0.18080773383816173,-0.037815590667561905,0.5160093144333082,-0.1451990948076209,0.5658387877724741,0.5538249051008701,0.7110378825800949
2,-0.6846280520084742,-0.1846280520084742,0.16529828220962273,0.4830566404598611,-0.06366621398320226,0.34114082803386203,0.31775835825023835,0.4048070420170643
3,-0.3894701083084754,0.1105298916915246,1.2964656342948513,1.835037375797826,0.8229124709189529,1.159292591591429,0.5385717415029747,0.336380120672476
4,-0.28990676547743105,0.21009323452256895,1.8210115864715126,2.1828365626632795,1.3320677729069632,1.774215013893919,0.3618249761917669,0.4421472409869558
5,0.9005009352655549,1.4005009352655549,1.779287048158439,2.307690679864563,1.339641163634128,1.793677908717857,0.5284036317061238,0.4540367450837288
6,0.87593025302986,1.37593025302986,1.8713256582659883,2.3242411050937104,1.6030325118639506,2.0668888388210522,0.4529154468277221,0.46385632695710166
7,-0.23810450748787215,0.26189549251212785,2.0054235922584254,2.3726884184637473,1.6095741550958214,1.9314403356794068,0.36726482620532197,0.3218661805835854
8,0.697727572443934,1.197727572443934,2.4793873036085894,3.0504921255921,2.254000275193956,2.939773222729888,0.5711048219835106,0.685772947535932
9,0.8860697510903413,1.3860697510903413,1.9745622395550881,2.360865660871177,2.3330824649650013,2.7621620939777345,0.38630342131608875,0.4290796290127332
