column,mean,std,min,max,source
user_intent,-0.016097315160614294,1.008620019158578,-3.747413858130894,3.620950997266241,observed
catalog_match,0.013082661158461352,1.0092843577795798,-3.9877157495211417,3.4175506819983057,observed
tutorial_prompt,-0.006449884190563358,0.994774312940993,-3.5867474940522923,3.6675109666695973,observed
recommendation_quality,-0.0062915010435439424,0.7775532130591929,-2.6873585877732684,3.811929828264919,observed
watch_time,1.2006275260263137,1.041299939885453,-1.774253558539872,7.92391471546904,observed
next_week_value,0.7805169909182369,1.2440731765379498,-2.4843554076993923,8.297991415936705,observed
user_intent,-0.035357880690507514,1.0108809165552584,-3.747413858130894,3.333527477827911,gcm_generated
catalog_match,0.011382070087174739,0.9950487728565194,-3.013568074725383,3.4175506819983057,gcm_generated
tutorial_prompt,-0.032581310795425165,0.9844294075806705,-3.5867474940522923,3.6675109666695973,gcm_generated
recommendation_quality,-0.019285953704341278,0.7409316331343607,-2.412435068410379,3.4646601607431826,gcm_generated
watch_time,1.1726319466681827,0.9873207004649406,-1.4483692622070476,5.934737829206085,gcm_generated
next_week_value,0.7567890035299129,1.1862202927531287,-2.39291012485851,6.579007930376416,gcm_generated
