scenario,feature_exposure,weekly_value,user_engagement,prior_sessions,account_age_weeks,is_power_user,baseline_value,true_propensity,estimated_propensity,clipped_propensity_01,clipped_propensity_05
usable_overlap,1,9.855097190310088,0.8422613160907125,1,8.28394617822309,0,3.6861817462755866,0.5576319151024864,0.5338471424302684,0.5338471424302684,0.5338471424302684
usable_overlap,1,2.4809815916295372,-2.9761111715097797,5,6.161958674721209,0,-0.6000323838179467,0.1189391420162935,0.12634021954579286,0.12634021954579286,0.12634021954579286
usable_overlap,1,6.655228838777369,-0.30502388059256774,6,13.987073972376553,0,2.533540967652988,0.40789102004221384,0.405171041308914,0.405171041308914,0.405171041308914
usable_overlap,1,12.785204096396864,1.4498879223987968,5,18.35976374415946,0,4.458249930606792,0.6556873498248693,0.6377633425630982,0.6377633425630982,0.6377633425630982
usable_overlap,0,4.590192991190328,-1.2439614718565628,2,10.443849452457858,0,2.3529530224513104,0.281284727275336,0.2726166830173784,0.2726166830173784,0.2726166830173784
usable_overlap,1,6.532188494146904,0.053210597715667794,3,4.37666051421227,0,1.1625495277801474,0.41353089669256504,0.41102949787236104,0.41102949787236104,0.41102949787236104
usable_overlap,1,10.438959837785685,1.4998616202102704,2,4.90127794577897,1,4.663064594392741,0.7354462598771219,0.7279446744150373,0.7279446744150373,0.7279446744150373
usable_overlap,0,2.1513939597110117,-1.1682047539308045,3,6.944338663028043,0,1.2355153804680106,0.27544983899283243,0.274283739068541,0.274283739068541,0.274283739068541
usable_overlap,1,11.010726469758623,0.8106216312560561,7,4.0997319061250295,1,4.105083003178109,0.6822202563795677,0.6893870590384401,0.6893870590384401,0.6893870590384401
usable_overlap,1,10.690031643452876,1.8988979078111143,7,3.5422681837725136,0,4.393592591155913,0.738179127254096,0.7281983133276537,0.7281983133276537,0.7281983133276537
usable_overlap,0,7.7322141429012134,0.4469642342488036,2,5.505563593127681,1,2.1739404878341646,0.5553867340033937,0.5614023795486095,0.5614023795486095,0.5614023795486095
usable_overlap,0,11.582428213804663,1.629147622744753,5,3.2635221433632147,1,5.499261600610735,0.781498916765064,0.7772590984473371,0.7772590984473371,0.7772590984473371
usable_overlap,1,7.68429493595003,-0.13815213257224668,1,6.07138431839911,0,2.205637913774907,0.40170785984089896,0.38847187650380294,0.38847187650380294,0.38847187650380294
