model_family,target,feature,importance,importance_share
lightgbm,mediator,calendar_day_index,297.0,0.10760869565217392
lightgbm,mediator,prior_3day_high_satisfaction_share,260.0,0.09420289855072464
lightgbm,mediator,lag_1_high_satisfaction_share,249.0,0.09021739130434783
lightgbm,mediator,prior_3day_discovery_candidate_share,187.0,0.0677536231884058
lightgbm,mediator,onehot_feat8,147.0,0.05326086956521739
lightgbm,mediator,lag_1_valid_play_share,137.0,0.04963768115942029
lightgbm,mediator,prior_3day_valid_play_share,122.0,0.04420289855072464
lightgbm,mediator,onehot_feat3,118.0,0.042753623188405795
lightgbm,mediator,register_days,111.0,0.04021739130434782
lightgbm,mediator,prior_3day_total_play_duration_sec,108.0,0.0391304347826087
lightgbm,mediator,lag_1_total_play_duration_sec,103.0,0.03731884057971015
lightgbm,mediator,A_high_discovery,101.0,0.036594202898550726
lightgbm,outcome,calendar_day_index,592.0,0.2144927536231884
lightgbm,outcome,onehot_feat8,187.0,0.0677536231884058
lightgbm,outcome,prior_3day_discovery_candidate_share,180.0,0.06521739130434782
lightgbm,outcome,prior_3day_interactions,157.0,0.05688405797101449
lightgbm,outcome,register_days,148.0,0.0536231884057971
lightgbm,outcome,onehot_feat7,126.0,0.04565217391304348
lightgbm,outcome,prior_3day_high_satisfaction_share,121.0,0.04384057971014493
lightgbm,outcome,onehot_feat3,120.0,0.043478260869565216
lightgbm,outcome,follow_user_num,108.0,0.0391304347826087
lightgbm,outcome,prior_3day_total_play_duration_sec,105.0,0.03804347826086957
lightgbm,outcome,prior_3day_valid_play_share,103.0,0.03731884057971015
lightgbm,outcome,fans_user_num,87.0,0.03152173913043478
xgboost,mediator,prior_3day_high_satisfaction_share,0.16969652473926544,0.16969653964042664
xgboost,mediator,lag_1_high_satisfaction_share,0.06862450391054153,0.06862451136112213
xgboost,mediator,lag_1_valid_play_share,0.05704056844115257,0.05704057589173317
xgboost,mediator,prior_3day_valid_play_share,0.04356126859784126,0.04356127232313156
xgboost,mediator,lag_1_interactions,0.043195709586143494,0.04319571331143379
xgboost,mediator,onehot_feat11,0.041598595678806305,0.0415985994040966
xgboost,mediator,fans_user_num_range_1_10,0.03813866525888443,0.03813866898417473
xgboost,mediator,user_active_degree_high_active,0.03300788626074791,0.03300788998603821
xgboost,mediator,prior_3day_active_day,0.031183991581201553,0.031183995306491852
xgboost,mediator,onehot_feat6,0.026160432025790215,0.026160435751080513
xgboost,mediator,lag_1_total_play_duration_sec,0.0260565597563982,0.0260565634816885
xgboost,mediator,A_high_discovery,0.022663051262497902,0.02266305312514305
xgboost,outcome,calendar_day_index,0.30932480096817017,0.3093247711658478
xgboost,outcome,prior_3day_active_day,0.19050565361976624,0.19050562381744385
xgboost,outcome,prior_3day_discovery_candidate_share,0.15165100991725922,0.15165099501609802
xgboost,outcome,prior_3day_interactions,0.037293486297130585,0.037293482571840286
xgboost,outcome,lag_1_interactions,0.020237483084201813,0.020237481221556664
xgboost,outcome,lag_1_discovery_candidate_share,0.018960919231176376,0.018960917368531227
xgboost,outcome,recent_activity_score,0.016948934644460678,0.01694893278181553
xgboost,outcome,user_active_degree_high_active,0.016100449487566948,0.0161004476249218
xgboost,outcome,prior_3day_total_play_duration_sec,0.014483613893389702,0.014483612030744553
xgboost,outcome,register_days_range_61_90,0.014107001945376396,0.014107000082731247
xgboost,outcome,fans_user_num,0.013557499274611473,0.013557497411966324
xgboost,outcome,onehot_feat14,0.011676826514303684,0.01167682558298111
