boot_id,treatment,rep_id,boot_t_stat
0,d_main,1,0.21472412693588425
0,d_main,2,1.4290366197237798
0,d_main,3,1.054317502199171
0,d_secondary,1,-0.5587250476921299
0,d_secondary,2,1.150842150825995
0,d_secondary,3,0.013821431759450442
0,d_null,1,-0.4409308192783061
0,d_null,2,2.391409740156624
0,d_null,3,2.2821078424461643
1,d_main,1,-0.31006931148806927
1,d_main,2,-0.29226402219058845
1,d_main,3,-1.6519057100181473
1,d_secondary,1,-1.9086011665671425
1,d_secondary,2,0.21033005503608443
1,d_secondary,3,0.5094438648632656
1,d_null,1,-2.4153857930036993
1,d_null,2,0.057218036205219196
1,d_null,3,0.3395232662780667
2,d_main,1,-0.31915835711536533
2,d_main,2,0.8263960883935794
2,d_main,3,0.6852798005221317
2,d_secondary,1,-1.8863395861428334
2,d_secondary,2,0.22481546468027322
2,d_secondary,3,0.13671142872766273
2,d_null,1,-0.8522375421616506
2,d_null,2,1.253407030315611
2,d_null,3,1.1655211290393916
3,d_main,1,0.47173559453896596
3,d_main,2,0.49679662900160926
3,d_main,3,-0.7420441434087779
3,d_secondary,1,1.5661776773816192
3,d_secondary,2,-0.39324238225656244
3,d_secondary,3,-0.7323661773690704
3,d_null,1,-0.22076710887569256
3,d_null,2,0.5963628075110462
3,d_null,3,-1.3703090417920314
4,d_main,1,0.6082546674398246
4,d_main,2,-2.0029552054876216
4,d_main,3,-1.297008938668152
4,d_secondary,1,0.553020631213044
4,d_secondary,2,-0.3607538627555934
4,d_secondary,3,0.5376230911269757
4,d_null,1,-0.9349698478417624
4,d_null,2,-0.9482637237579802
4,d_null,3,-0.7400814127723226
5,d_main,1,0.021491204676438808
5,d_main,2,0.7988921581723557
5,d_main,3,-1.5071470564012663
5,d_secondary,1,-1.9159546238714285
5,d_secondary,2,-1.0162996578825438
5,d_secondary,3,1.4181593881318955
5,d_null,1,-0.734115387514771
5,d_null,2,-1.389485696200724
5,d_null,3,-2.239069837535485
6,d_main,1,-0.34815880524640275
6,d_main,2,-0.7768081657988436
6,d_main,3,-0.9390649892940576
6,d_secondary,1,0.5299407950487545
6,d_secondary,2,1.1484657194204686
6,d_secondary,3,-0.20061554158097333
6,d_null,1,-1.6782150761422279
6,d_null,2,0.7602393575816027
6,d_null,3,1.7941573548118845
7,d_main,1,0.5345412334062913
7,d_main,2,-0.4107981742117485
7,d_main,3,0.5231410169598204
7,d_secondary,1,0.39684518187314655
7,d_secondary,2,-1.5046233681401897
7,d_secondary,3,0.39916388831820127
7,d_null,1,0.15067178280588597
7,d_null,2,-1.0697055272434375
7,d_null,3,-1.4224808374491613
8,d_main,1,0.21793922896765083
8,d_main,2,0.25500626056558134
8,d_main,3,0.8599109625203153
8,d_secondary,1,-2.228396797314802
8,d_secondary,2,-1.8486711874541424
8,d_secondary,3,1.6522912630337576
8,d_null,1,-0.11792853062252275
8,d_null,2,-0.24340133306205802
8,d_null,3,-0.730404442240242
9,d_main,1,-0.6033996955967299
9,d_main,2,-0.6082342644022803
9,d_main,3,0.7902930553507521
9,d_secondary,1,-0.6577098854373309
9,d_secondary,2,-0.3780489835016046
9,d_secondary,3,-0.5555603918278103
9,d_null,1,-0.7984857069190524
9,d_null,2,1.1571000903721624
9,d_null,3,-0.1915894840664671
10,d_main,1,-0.7533396162868625
10,d_main,2,1.9316400890067236
10,d_main,3,0.38694167588747563
10,d_secondary,1,0.6866397748203146
10,d_secondary,2,-0.32067642092546655
10,d_secondary,3,-1.0442259465830552
10,d_null,1,1.7581408330789174
10,d_null,2,-0.6837530733578264
10,d_null,3,-0.7537837408472758
11,d_main,1,-0.008013392323850232
11,d_main,2,0.9386637996129384
11,d_main,3,-1.1352892057286357
11,d_secondary,1,-0.6320204297632189
11,d_secondary,2,0.17938544933988138
11,d_secondary,3,0.08166880920493391
11,d_null,1,1.7225436300197638
11,d_null,2,-0.6996070792739028
11,d_null,3,-1.8597359035519698
12,d_main,1,-1.6708814037258817
12,d_main,2,-0.12307851758925464
12,d_main,3,-0.527508540478787
12,d_secondary,1,0.7587363902329243
12,d_secondary,2,-0.5667419675612944
12,d_secondary,3,0.06944282577124228
12,d_null,1,1.3766153289286964
12,d_null,2,-0.1719976902231951
12,d_null,3,0.3920859211824578
13,d_main,1,0.43774980986940637
13,d_main,2,-0.6141855519860738
13,d_main,3,-0.2545859149679254
13,d_secondary,1,-0.03721948808276049
13,d_secondary,2,0.613075269559171
13,d_secondary,3,-0.28613598174554566
13,d_null,1,-0.16439083169979718
13,d_null,2,-1.841531708846941
13,d_null,3,1.0193860013976568
14,d_main,1,-1.343589263764036
14,d_main,2,-0.7193026090088336
14,d_main,3,-0.28811596470863765
14,d_secondary,1,0.8827040069055065
14,d_secondary,2,-0.2609839577722605
14,d_secondary,3,-1.2667054237572282
14,d_null,1,-0.3631472095346774
14,d_null,2,0.9376973377201865
14,d_null,3,1.2197008781817205
15,d_main,1,-1.6268847810090588
15,d_main,2,-1.2611153509428807
15,d_main,3,-1.1734512996164292
15,d_secondary,1,0.13634794807843098
15,d_secondary,2,-1.3452853679371712
15,d_secondary,3,-0.3050361360126632
15,d_null,1,-0.8020909631731828
15,d_null,2,0.0764452649167578
15,d_null,3,0.6952586798230423
16,d_main,1,-0.3611874137671309
16,d_main,2,-0.4062988421244307
16,d_main,3,-0.4827201767571124
16,d_secondary,1,-0.41255420676236576
16,d_secondary,2,2.2798133979982333
16,d_secondary,3,0.16652898195006305
16,d_null,1,1.3129709181090805
16,d_null,2,-0.045236449732635436
16,d_null,3,0.8069949318918526
17,d_main,1,0.12887146415309056
17,d_main,2,1.82312216166846
17,d_main,3,-0.8051582430684556
17,d_secondary,1,0.2706212970494472
17,d_secondary,2,0.18094683374532905
17,d_secondary,3,-0.049093859793843175
17,d_null,1,-0.5334954320024101
17,d_null,2,0.6360407181007466
17,d_null,3,-1.211143318105448
18,d_main,1,-0.05441871995014483
18,d_main,2,0.4116610261822171
18,d_main,3,-0.26605953952572714
18,d_secondary,1,-1.1425769932231495
18,d_secondary,2,-0.07730071248571246
18,d_secondary,3,-0.7940661638543701
18,d_null,1,0.7101762647563876
18,d_null,2,-0.266298854467767
18,d_null,3,1.1572386250439153
19,d_main,1,0.5949421169593538
19,d_main,2,-0.17276095867386287
19,d_main,3,-0.1382286358791862
19,d_secondary,1,0.1447716239972272
19,d_secondary,2,0.052796420728160376
19,d_secondary,3,0.10987142611153827
19,d_null,1,0.8395882115068499
19,d_null,2,0.035629881537079355
19,d_null,3,1.5458331635035871
20,d_main,1,1.0350477698810097
20,d_main,2,-0.5889100479412502
20,d_main,3,-1.2563423786927448
20,d_secondary,1,0.8780093397935538
20,d_secondary,2,1.4529260806268143
20,d_secondary,3,0.1454300518871206
20,d_null,1,3.0464112633320157
20,d_null,2,-1.4105787215175978
20,d_null,3,-1.213111683277068
21,d_main,1,0.9627076132169265
21,d_main,2,-0.11575064095449064
21,d_main,3,0.7860745846935715
21,d_secondary,1,0.15400409344207688
21,d_secondary,2,0.20640238474548805
21,d_secondary,3,-0.9091451138202167
21,d_null,1,1.7561935745443993
21,d_null,2,-0.6897227413133301
21,d_null,3,0.7726853471992853
22,d_main,1,0.9424878594228198
22,d_main,2,-0.434541622685376
